         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,   cost_ki,    gen_ki,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,   cost_fc,    gen_fc,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys,  vertices
        25,   10723.7,        26,        26,       215,1.48555e+06,      1118,   4368.74,      9389,   1548.02,      6397,    269808,      2598,    266315,      3192,       363,      1142,         0,         0,    5182.6,      6131,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        50,   14458.1,        48,        53,       477,1.34558e+06,      1143,   8343.81,     19017,   4298.07,     18240,    732561,      5448,    724080,      7924,       698,      3587,         0,         0,   13196.9,     13523,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         1,   2737.02,         1,         1,         5,1.00101e+06,      1651,    155.14,       456,    16.468,        47,   3510.09,        48,      3476,        33,         9,         0,         0,         0,    19.992,        25,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         5,   4155.61,         5,         5,        31,1.34051e+06,      1099,   344.405,      1083,    73.655,       235,   18432.6,       182,     18268,       191,        26,        52,         0,         0,   263.093,       361,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        10,   5287.67,        11,        11,        60,2.36882e+06,      1104,   853.483,      1915,     207.5,       779,   42807.2,       394,     42353,       430,        58,       133,         0,         0,   918.568,      1016,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        25,   8045.02,        27,        27,       205,1.23789e+06,      1118,   2186.91,      4997,   1171.37,      4298,    170979,      1289,    169298,      1675,       173,       681,         0,         0,    2578.7,      3284,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        50,   12867.8,        51,        51,       509,1.31425e+06,      1143,      5738,     13500,   3239.41,     13331,    577183,      3969,    571108,      5669,       502,      2557,         0,         0,   9628.61,      9545,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         1,     232.8,         1,         1,         2,   60089.4,       392,     8.252,        21,     0.961,         6,   116.023,         8,       114,         2,         0,         0,         0,         0,     2.129,         8,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         5,   1986.65,         5,         5,        15,1.0065e+06,      1380,    74.605,       250,     14.02,        64,   3860.19,        50,      3821,        49,        10,        24,         0,         0,    77.572,       115,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        10,   4173.81,        10,        10,        45,1.43495e+06,      1105,   387.118,      1153,   144.427,       518,   21676.7,       221,     21466,       248,        32,        91,         0,         0,   430.273,       592,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        25,   8739.56,        26,        26,       193,1.21322e+06,      1120,   2642.66,      6685,   924.542,      3920,    197327,      1454,    195422,      1929,       189,       794,         0,         0,   3620.26,      3888,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        50,   12445.3,        49,        51,       536,1.45008e+06,      1145,   6720.25,     14590,   3834.46,     16316,    653695,      4412,    646847,      6407,       550,      2877,         0,         0,   8529.88,     10335,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         1,   2369.19,         1,         1,         3,1.0025e+06,      1120,    90.092,       222,     4.866,        12,   437.571,        15,       429,         7,         2,         0,         0,         0,      9.74,        15,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         5,   4228.84,         6,         6,        21,1.87728e+06,      1097,   327.018,       990,    88.578,       303,   13115.8,       189,     12957,       184,        26,        44,         0,         0,    263.47,       308,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        10,   5063.24,         8,        10,        57,1.28013e+06,      1102,   566.566,      1538,   160.108,       644,   24662.9,       368,     24309,       376,        47,        99,         0,         0,   561.245,       767,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        25,    8993.1,        23,        25,       177,1.29553e+06,      1117,   2802.95,      6092,   922.629,      3602,    116667,      1227,    115017,      1672,       157,       727,         0,         0,   3147.43,      3862,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        50,   12514.6,        48,        51,       446,1.29072e+06,      1142,   5658.06,     12506,   3233.87,     11806,    464775,      3391,    459291,      5247,       424,      2572,         0,         0,   9136.19,      9544,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         1,   3410.85,         1,         1,        11,1.00269e+06,      1171,   133.871,       360,    29.818,        67,   3248.97,        67,      3188,        51,         8,         0,         0,         0,    70.927,        36,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         5,   8600.29,         5,         5,        36,1.25201e+06,      1097,   1000.78,      2800,   346.456,      1348,   40384.5,       348,     40045,       373,        42,        98,         0,         0,   1292.48,      1419,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        10,   9004.68,         8,        10,        79,1.26224e+06,      1102,   1029.25,      3133,   388.952,      1402,   87630.7,       788,     86775,       826,        94,       198,         0,         0,   1821.72,      1657,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        25,   14598.3,        25,        25,       289,1.27479e+06,      1117,    4300.1,     10186,    2813.1,     11206,    399828,      2589,    395883,      3890,       326,      1795,         0,         0,   7184.97,      7276,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        50,   19347.5,        54,        54,       706,1.3302e+06,      1142,   8452.34,     18993,   8813.57,     34961,1.14671e+06,      6405,1.13487e+06,     10989,       857,      5844,         0,         0,   14982.1,     14828,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         1,   1179.04,         1,         1,         2,    175900,       509,    47.024,        90,     2.423,         9,   343.846,        13,       338,         5,         2,         0,         0,         0,     5.926,        10,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         5,   3797.97,         5,         5,        16,1.00542e+06,      4248,    333.37,       802,    99.152,       402,   9097.16,        98,      9008,        93,        19,        36,         0,         0,   267.704,       307,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        10,   4489.07,         9,        10,        43,1.29419e+06,      1103,   375.655,      1063,   104.839,       446,   30800.2,       247,     30563,       262,        49,       104,         0,         0,   711.702,       594,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        25,   10981.4,        25,        25,       191,1.31692e+06,      1118,   2549.72,      6370,   839.499,      3473,    280902,      1676,    278612,      2324,       277,      1057,         0,         0,   4475.74,      4427,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        50,   15065.4,        55,        56,       530,1.31089e+06,      1143,   5966.83,     13119,   5466.05,     21110,    861090,      4718,    853059,      7227,       657,      3518,         0,         0,   9532.26,     10217,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         1,   1140.27,         1,         1,         3,1.00034e+06,       339,    39.133,        88,     4.238,        11,   568.872,        14,       561,         6,         1,         0,         0,         0,     8.437,        14,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         5,   3438.57,         5,         5,        27,1.24226e+06,      1099,   374.536,       831,    80.719,       286,   20451.6,       169,     20280,       163,        23,        40,         0,         0,    263.56,       279,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        10,   4620.31,         9,        10,        67,1.37619e+06,      1104,   550.936,      1462,    191.03,       675,   43994.5,       333,     43654,       367,        40,       120,         0,         0,   670.419,       908,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        25,   8378.18,        26,        26,       202,1.25743e+06,      1119,   2181.66,      5958,   725.464,      2917,    196399,      1305,    194757,      1678,       177,       689,         0,         0,   2905.27,      3664,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        50,     12226,        49,        50,       482,1.62944e+06,      1144,   6026.28,     14393,   3157.14,     12940,    641429,      3925,    635462,      5583,       502,      2492,         0,         0,   9329.58,     10217,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         1,   2134.29,         1,         1,         4,    488117,      1298,    83.441,       214,      6.62,        22,   1963.44,        27,      1944,        17,         3,         0,         0,         0,     12.83,        18,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         5,   3847.37,         5,         5,        28, 1.237e+06,      1097,   286.735,       900,    48.388,       170,   14084.1,       113,     13980,       107,        21,        33,         0,         0,   203.807,       292,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        10,   6022.32,        10,        10,        63,1.24708e+06,      1102,    732.73,      2299,   239.634,       915,   70315.3,       434,     69859,       492,        53,       156,         0,         0,   824.617,      1162,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        25,   8663.97,        28,        28,       189,1.41565e+06,      1117,   2647.23,      5832,   942.929,      4160,    229289,      1424,    227475,      1765,       203,       674,         0,         0,   2823.72,      3492,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
