vertices: 3940, polygons: 4498
       idx,             dist_ki,           dist_edbt,             cost_ki,           cost_edbt,   vnum_ki, vnum_edbt
       255/2,             1900.48,             1900.48,              74.281,              212023,         2,         2
       255/3,             3717.51,             3717.51,              74.281,              212023,         2,         2
       255/4,             4074.91,             4074.91,              74.281,              212023,         2,         2
       256/0,                   0,                   0,              25.417,              113385,         1,         2
       256/1,             2187.27,             2187.27,              25.417,              113385,         2,         2
       256/2,             2459.33,             2459.33,              25.417,              113385,         2,         2
       256/3,             3066.13,             3066.13,              25.417,              113385,         2,         2
       256/4,              3368.7,              3368.7,              25.417,              113385,         2,         2
       257/0,                   0,                   0,              58.058,              157430,         1,         2
       257/1,             1975.83,             1975.83,              58.058,              157430,         2,         2
       257/2,             3135.39,             3135.39,              58.058,              157430,         4,         4
       257/3,             6198.39,             6198.39,              58.058,              157430,         5,         5
       257/4,             6218.75,             6218.75,              58.058,              157430,         4,         5
       258/0,                   0,                   0,              79.928,              124670,         1,         2
       258/1,             3942.59,             3942.59,              79.928,              124670,         2,         2
       258/2,             4032.68,             4032.68,              79.928,              124670,         4,         4
       258/3,             5723.58,             5723.58,              79.928,              124670,         2,         2
       258/4,             5747.33,             5747.33,              79.928,              124670,         3,         3
       259/0,                   0,                   0,              43.698,             81690.2,         1,         2
       259/1,             143.753,             143.753,              43.698,             81690.2,         2,         2
       259/2,              2977.1,              2977.1,              43.698,             81690.2,         3,         3
       259/3,             3487.52,             3487.52,              43.698,             81690.2,         3,         3
       259/4,             4743.13,             4743.13,              43.698,             81690.2,         3,         3
       260/0,                   0,                   0,              105.68,              153218,         1,         2
       260/1,             4047.53,             4047.53,              105.68,              153218,         3,         3
       260/2,              4899.6,              4899.6,              105.68,              153218,         3,         3
       260/3,             8781.69,             8781.69,              105.68,              153218,         4,         4
       260/4,             9196.46,             9196.46,              105.68,              153218,         4,         4
       261/0,                   0,                   0,               51.28,              280227,         1,         2
       261/1,             1553.66,             1553.66,               51.28,              280227,         2,         2
       261/2,             2655.13,             2655.13,               51.28,              280227,         2,         2
       261/3,             3696.67,             3696.67,               51.28,              280227,         2,         2
       261/4,             4003.53,             4003.53,               51.28,              280227,         2,         2
       262/0,                   0,                   0,              58.094,              167268,         1,         2
       262/1,             1416.85,             1416.85,              58.094,              167268,         2,         2
       262/2,             3974.58,             3974.58,              58.094,              167268,         2,         2
       262/3,             4514.17,             4514.17,              58.094,              167268,         3,         3
       262/4,             4900.46,             4900.46,              58.094,              167268,         3,         3
       263/0,                   0,                   0,              64.806,              457566,         1,         2
       263/1,             1227.23,             1227.23,              64.806,              457566,         2,         2
       263/2,             3758.86,             3758.86,              64.806,              457566,         2,         2
       263/3,              4928.5,              4928.5,              64.806,              457566,         3,         3
       263/4,             5369.74,             5369.74,              64.806,              457566,         3,         3
       264/0,                   0,                   0,              44.529,              152026,         1,         2
       264/1,             1503.39,             1503.39,              44.529,              152026,         3,         3
       264/2,             1789.76,             1789.76,              44.529,              152026,         2,         2
       264/3,             2415.69,             2415.69,              44.529,              152026,         2,         2
       264/4,             2554.45,             2554.45,              44.529,              152026,         2,         2
       265/0,                   0,                   0,              39.241,              101959,         1,         2
       265/1,             848.062,             848.062,              39.241,              101959,         2,         2
       265/2,             3047.25,             3047.25,              39.241,              101959,         2,         2
       265/3,              3368.7,              3368.7,              39.241,              101959,         2,         2
       265/4,             3814.02,             3814.02,              39.241,              101959,         2,         2
       266/0,                   0,                   0,              30.092,             82528.2,         1,         2
       266/1,             1204.12,             1204.12,              30.092,             82528.2,         2,         2
       266/2,             3540.41,             3540.41,              30.092,             82528.2,         3,         3
       266/3,             3712.75,             3712.75,              30.092,             82528.2,         3,         3
       266/4,             3836.93,             3836.93,              30.092,             82528.2,         2,         2
       267/0,                   0,                   0,              33.431,              146395,         1,         2
       267/1,              1254.2,              1254.2,              33.431,              146395,         2,         2
       267/2,              2231.6,              2231.6,              33.431,              146395,         2,         2
       267/3,             3761.45,             3761.45,              33.431,              146395,         2,         2
       267/4,             5324.04,             5324.04,              33.431,              146395,         4,         4
       268/0,                   0,                   0,             102.862,              149811,         1,         2
       268/1,             1258.07,             1258.07,             102.862,              149811,         2,         2
       268/2,             2934.48,             2934.48,             102.862,              149811,         3,         3
       268/3,             3482.66,             3482.66,             102.862,              149811,         3,         3
       268/4,             3576.15,             3576.15,             102.862,              149811,         3,         3
       269/0,                   0,                   0,              91.029,              232823,         1,         2
       269/1,             4312.72,             4312.72,              91.029,              232823,         3,         3
       269/2,             4943.91,             4943.91,              91.029,              232823,         2,         2
       269/3,             6121.36,             6121.36,              91.029,              232823,         3,         3
       269/4,             6717.68,             6717.68,              91.029,              232823,         4,         4
       270/0,                   0,                   0,              81.757,              328823,         1,         2
       270/1,             1125.12,             1125.12,              81.757,              328823,         2,         2
       270/2,             5501.16,             5501.16,              81.757,              328823,         3,         3
       270/3,             6038.42,             6038.42,              81.757,              328823,         3,         3
       270/4,                6398,                6398,              81.757,              328823,         4,         4
       271/0,                   0,                   0,              76.668,              310406,         1,         2
       271/1,             227.407,             227.407,              76.668,              310406,         2,         2
       271/2,             2683.22,             2683.22,              76.668,              310406,         2,         2
       271/3,             4244.46,             4244.46,              76.668,              310406,         2,         2
       271/4,             4866.05,             4866.05,              76.668,              310406,         3,         3
       272/0,                   0,                   0,              56.732,              274382,         1,         2
       272/1,             635.044,             635.044,              56.732,              274382,         2,         2
       272/2,             1966.27,             1966.27,              56.732,              274382,         2,         2
       272/3,             5142.11,             5142.11,              56.732,              274382,         3,         3
       272/4,             5212.04,             5212.04,              56.732,              274382,         4,         4
       273/0,                   0,                   0,              27.254,             87064.7,         1,         2
       273/1,             389.134,             389.134,              27.254,             87064.7,         2,         2
       273/2,             690.948,             690.948,              27.254,             87064.7,         2,         2
       273/3,             3576.15,             3576.15,              27.254,             87064.7,         3,         3
       273/4,             3685.14,             3685.14,              27.254,             87064.7,         2,         2
       274/0,                   0,                   0,              27.284,             66042.3,         1,         2
       274/1,              1652.5,              1652.5,              27.284,             66042.3,         2,         2
       274/2,             2203.66,             2203.66,              27.284,             66042.3,         2,         2
       274/3,             3145.73,             3145.73,              27.284,             66042.3,         2,         2
       274/4,             3201.18,             3201.18,              27.284,             66042.3,         3,         3
       275/0,                   0,                   0,              168.13,              474767,         1,         2
       275/1,             5103.15,             5103.15,              168.13,              474767,         3,         3
       275/2,             5113.44,             5113.44,              168.13,              474767,         3,         3
       275/3,             5373.44,             5373.44,              168.13,              474767,         3,         3
       275/4,             7041.02,             7041.02,              168.13,              474767,         4,         4
       276/0,                   0,                   0,              53.961,             73433.2,         1,         2
       276/1,              3711.6,              3711.6,              53.961,             73433.2,         3,         3
       276/2,             5014.26,             5014.26,              53.961,             73433.2,         3,         3
       276/3,             5048.33,             5048.33,              53.961,             73433.2,         2,         2
       276/4,              5806.9,              5806.9,              53.961,             73433.2,         3,         3
       277/0,                   0,                   0,              53.276,              361284,         1,         2
       277/1,             2786.98,             2786.98,              53.276,              361284,         3,         3
       277/2,             4780.89,             4780.89,              53.276,              361284,         2,         2
       277/3,             4914.12,             4914.12,              53.276,              361284,         2,         2
       277/4,             4985.91,             4985.91,              53.276,              361284,         3,         3
       278/0,                   0,                   0,              98.013,              250862,         1,         2
       278/1,             3831.91,             3831.91,              98.013,              250862,         4,         4
       278/2,             4868.02,             4868.02,              98.013,              250862,         4,         4
       278/3,             6378.87,             6378.87,              98.013,              250862,         7,         7
       278/4,             7279.65,             7279.65,              98.013,              250862,         7,         7
       279/0,                   0,                   0,              19.821,             56515.8,         1,         2
       279/1,             1397.91,             1397.91,              19.821,             56515.8,         2,         2
       279/2,             2439.49,             2439.49,              19.821,             56515.8,         2,         2
       279/3,             2593.13,             2593.13,              19.821,             56515.8,         2,         2
       279/4,             2729.59,             2729.59,              19.821,             56515.8,         2,         2
       280/0,                   0,                   0,              63.495,              290375,         1,         2
       280/1,             599.248,             599.248,              63.495,              290375,         2,         2
       280/2,             3137.58,             3137.58,              63.495,              290375,         2,         2
       280/3,             4166.11,             4166.11,              63.495,              290375,         2,         2
       280/4,             6042.87,             6042.87,              63.495,              290375,         3,         3
       281/0,                   0,                   0,              34.956,             79399.8,         1,         2
       281/1,             143.753,             143.753,              34.956,             79399.8,         2,         2
       281/2,             3113.74,             3113.74,              34.956,             79399.8,         3,         3
       281/3,              3345.3,              3345.3,              34.956,             79399.8,         3,         3
       281/4,             4599.82,             4599.82,              34.956,             79399.8,         3,         3
       282/0,                   0,                   0,              85.136,              674680,         1,         2
       282/1,              2577.6,              2577.6,              85.136,              674680,         3,         3
       282/2,             2846.01,             2846.01,              85.136,              674680,         2,         2
       282/3,             3317.05,             3317.05,              85.136,              674680,         2,         2
       282/4,             6197.55,             6197.55,              85.136,              674680,         4,         4
       283/0,                   0,                   0,              61.228,              375538,         1,         2
       283/1,             2596.34,             2596.34,              61.228,              375538,         2,         2
       283/2,             3576.52,             3576.52,              61.228,              375538,         4,         4
       283/3,             4038.64,             4038.64,              61.228,              375538,         3,         3
       283/4,             5038.83,             5038.83,              61.228,              375538,         2,         2
       284/0,                   0,                   0,              36.349,              133600,         1,         2
       284/1,             650.404,             650.404,              36.349,              133600,         2,         2
       284/2,             3727.63,             3727.63,              36.349,              133600,         3,         3
       284/3,             4095.83,             4095.83,              36.349,              133600,         2,         2
       284/4,              4553.9,              4553.9,              36.349,              133600,         3,         3
       285/0,                   0,                   0,             131.965,              885706,         1,         2
       285/1,             674.953,             674.953,             131.965,              885706,         2,         2
       285/2,             2759.83,             2759.83,             131.965,              885706,         3,         3
       285/3,             3370.57,             3370.57,             131.965,              885706,         3,         3
       285/4,             6279.76,             6279.76,             131.965,              885706,         3,         3
       286/0,                   0,                   0,              72.165,              133578,         1,         2
       286/1,              2716.4,              2716.4,              72.165,              133578,         3,         3
       286/2,             3304.26,             3304.26,              72.165,              133578,         2,         2
       286/3,             4696.29,             4696.29,              72.165,              133578,         2,         2
       286/4,             4896.66,             4896.66,              72.165,              133578,         3,         3
       287/0,                   0,                   0,              95.426,              146487,         1,         2
       287/1,             2869.88,             2869.88,              95.426,              146487,         2,         2
       287/2,             4312.72,             4312.72,              95.426,              146487,         3,         3
       287/3,             6150.61,             6150.61,              95.426,              146487,         2,         2
       287/4,             6645.71,             6645.71,              95.426,              146487,         3,         3
       288/0,                   0,                   0,              37.549,             92878.4,         1,         2
       288/1,             825.156,             825.156,              37.549,             92878.4,         2,         2
       288/2,             1221.86,             1221.86,              37.549,             92878.4,         2,         2
       288/3,             1836.76,             1836.76,              37.549,             92878.4,         2,         2
       288/4,             3930.01,             3930.01,              37.549,             92878.4,         2,         2
       289/0,                   0,                   0,             176.812,         1.21794e+06,         1,         2
       289/1,             4247.83,             4247.83,             176.812,         1.21794e+06,         2,         2
       289/2,             5080.26,             5080.26,             176.812,         1.21794e+06,         4,         4
       289/3,             6287.08,             6287.08,             176.812,         1.21794e+06,         4,         4
       289/4,             8363.44,             8363.44,             176.812,         1.21794e+06,         3,         3
       290/0,                   0,                   0,              58.605,              182526,         1,         2
       290/1,             2047.09,             2047.09,              58.605,              182526,         3,         3
       290/2,             5403.23,             5403.23,              58.605,              182526,         4,         4
       290/3,             5473.44,             5473.44,              58.605,              182526,         4,         4
       290/4,             5859.47,             5859.47,              58.605,              182526,         5,         5
       291/0,                   0,                   0,              24.045,             81318.9,         1,         2
       291/1,                2305,                2305,              24.045,             81318.9,         2,         2
       291/2,              3282.7,              3282.7,              24.045,             81318.9,         2,         2
       291/3,             3380.51,             3380.51,              24.045,             81318.9,         2,         2
       291/4,             3618.81,             3618.81,              24.045,             81318.9,         2,         2
       292/0,                   0,                   0,              75.283,             87998.3,         1,         2
       292/1,             2123.93,             2123.93,              75.283,             87998.3,         2,         2
       292/2,             2572.61,             2572.61,              75.283,             87998.3,         2,         2
       292/3,             2971.61,             2971.61,              75.283,             87998.3,         2,         2
       292/4,             4204.81,             4204.81,              75.283,             87998.3,         4,         4
       293/0,                   0,                   0,              14.347,             36286.3,         1,         2
       293/1,              923.65,              923.65,              14.347,             36286.3,         2,         2
       293/2,             2626.79,             2626.79,              14.347,             36286.3,         2,         2
       293/3,              2700.1,              2700.1,              14.347,             36286.3,         2,         2
       293/4,             6481.65,             6481.65,              14.347,             36286.3,         2,         2
       294/0,                   0,                   0,              71.967,              260535,         1,         2
       294/1,              2716.4,              2716.4,              71.967,              260535,         3,         3
       294/2,             3858.03,             3858.03,              71.967,              260535,         3,         3
       294/3,             3883.83,             3883.83,              71.967,              260535,         4,         4
       294/4,             5690.14,             5690.14,              71.967,              260535,         3,         3
       295/0,                   0,                   0,              37.283,             78004.2,         1,         2
       295/1,              2138.1,              2138.1,              37.283,             78004.2,         3,         3
       295/2,             2286.03,             2286.03,              37.283,             78004.2,         3,         3
       295/3,             3660.82,             3660.82,              37.283,             78004.2,         3,         3
       295/4,             3749.31,             3749.31,              37.283,             78004.2,         3,         3
       296/0,                   0,                   0,              21.535,              151773,         1,         2
       296/1,             1503.39,             1503.39,              21.535,              151773,         3,         3
       296/2,             2446.05,             2446.05,              21.535,              151773,         2,         2
       296/3,                2722,                2722,              21.535,              151773,         2,         2
       296/4,              3203.7,              3203.7,              21.535,              151773,         2,         2
       297/0,                   0,                   0,              92.332,              329270,         1,         2
       297/1,             1618.04,             1618.04,              92.332,              329270,         2,         2
       297/2,             4334.99,             4334.99,              92.332,              329270,         4,         4
       297/3,             4758.55,             4758.55,              92.332,              329270,         3,         3
       297/4,             7055.15,             7055.15,              92.332,              329270,         4,         4
       298/0,                   0,                   0,              31.749,              415227,         1,         2
       298/1,             1073.56,             1073.56,              31.749,              415227,         2,         2
       298/2,             1642.34,             1642.34,              31.749,              415227,         2,         2
       298/3,             1976.96,             1976.96,              31.749,              415227,         2,         2
       298/4,             3791.13,             3791.13,              31.749,              415227,         2,         2
       299/0,                   0,                   0,              73.081,              144055,         1,         2
       299/1,              1745.5,              1745.5,              73.081,              144055,         2,         2
       299/2,             3590.66,             3590.66,              73.081,              144055,         2,         2
       299/3,             4528.41,             4528.41,              73.081,              144055,         5,         5
       299/4,             4798.56,             4798.56,              73.081,              144055,         4,         4
       300/0,                   0,                   0,               74.35,              203425,         1,         2
       300/1,             4186.28,             4186.28,               74.35,              203425,         4,         4
       300/2,             6933.68,             6933.68,               74.35,              203425,         6,         6
       300/3,             7305.35,             7305.35,               74.35,              203425,         6,         6
       300/4,             7530.17,             7530.17,               74.35,              203425,         5,         5
       301/0,                   0,                   0,                50.4,             46897.6,         1,         2
       301/1,             1746.96,             1746.96,                50.4,             46897.6,         3,         3
       301/2,             2776.24,             2776.24,                50.4,             46897.6,         2,         2
       301/3,              2838.8,              2838.8,                50.4,             46897.6,         3,         3
       301/4,             2963.21,             2963.21,                50.4,             46897.6,         3,         3
       302/0,                   0,                   0,             141.963,              731891,         1,         2
       302/1,             5488.13,             5488.13,             141.963,              731891,         3,         3
       302/2,             6414.53,             6414.53,             141.963,              731891,         4,         4
       302/3,             7096.25,             7096.25,             141.963,              731891,         5,         5
       302/4,             7175.25,             7175.25,             141.963,              731891,         3,         3
       303/0,                   0,                   0,             115.104,              364694,         1,         2
       303/1,             4144.12,             4144.12,             115.104,              364694,         2,         2
       303/2,             4966.92,             4966.92,             115.104,              364694,         3,         3
       303/3,             5881.96,             5881.96,             115.104,              364694,         3,         3
       303/4,             6785.32,             6785.32,             115.104,              364694,         3,         3
       304/0,                   0,                   0,              32.143,              207152,         1,         2
       304/1,              2150.4,              2150.4,              32.143,              207152,         2,         2
       304/2,             2593.13,             2593.13,              32.143,              207152,         2,         2
       304/3,             3646.87,             3646.87,              32.143,              207152,         2,         2
       304/4,             3714.24,             3714.24,              32.143,              207152,         4,         4
       305/0,                   0,                   0,              35.863,               98042,         1,         2
       305/1,             886.446,             886.446,              35.863,               98042,         2,         2
       305/2,             2219.78,             2219.78,              35.863,               98042,         2,         2
       305/3,             3186.99,             3186.99,              35.863,               98042,         3,         3
       305/4,             3566.44,             3566.44,              35.863,               98042,         2,         2
       306/0,                   0,                   0,              49.984,              290621,         1,         2
       306/1,             4732.92,             4732.92,              49.984,              290621,         2,         2
       306/2,             5105.28,             5105.28,              49.984,              290621,         3,         3
       306/3,             5533.14,             5533.14,              49.984,              290621,         4,         4
       306/4,             5755.64,             5755.64,              49.984,              290621,         3,         3
       307/0,                   0,                   0,             101.462,              790112,         1,         2
       307/1,             443.054,             443.054,             101.462,              790112,         2,         2
       307/2,             2592.78,             2592.78,             101.462,              790112,         4,         4
       307/3,             4951.69,             4951.69,             101.462,              790112,         5,         5
       307/4,             5473.68,             5473.68,             101.462,              790112,         4,         4
       308/0,                   0,                   0,               53.43,              174369,         1,         2
       308/1,             3570.71,             3570.71,               53.43,              174369,         2,         2
       308/2,             3663.79,             3663.79,               53.43,              174369,         2,         2
       308/3,             4270.87,             4270.87,               53.43,              174369,         2,         2
       308/4,              4301.8,              4301.8,               53.43,              174369,         2,         2
       309/0,                   0,                   0,              98.663,              326750,         1,         2
       309/1,             1064.38,             1064.38,              98.663,              326750,         2,         2
       309/2,             3227.82,             3227.82,              98.663,              326750,         2,         2
       309/3,             6378.87,             6378.87,              98.663,              326750,         7,         7
       309/4,             6712.44,             6712.44,              98.663,              326750,         4,         4
       310/0,                   0,                   0,              55.648,              294056,         1,         2
       310/1,             2713.27,             2713.27,              55.648,              294056,         2,         2
       310/2,             3181.83,             3181.83,              55.648,              294056,         3,         3
       310/3,             4839.79,             4839.79,              55.648,              294056,         3,         3
       310/4,             5360.51,             5360.51,              55.648,              294056,         5,         5
       311/0,                   0,                   0,              27.786,             74636.7,         1,         2
       311/1,             1957.05,             1957.05,              27.786,             74636.7,         2,         2
       311/2,             2031.43,             2031.43,              27.786,             74636.7,         2,         2
       311/3,                2150,                2150,              27.786,             74636.7,         2,         2
       311/4,             4095.83,             4095.83,              27.786,             74636.7,         2,         2
       312/0,                   0,                   0,              85.907,              335691,         1,         2
       312/1,             1258.07,             1258.07,              85.907,              335691,         2,         2
       312/2,             2523.49,             2523.49,              85.907,              335691,         2,         2
       312/3,             4172.71,             4172.71,              85.907,              335691,         4,         4
       312/4,             4720.89,             4720.89,              85.907,              335691,         4,         4
       313/0,                   0,                   0,             100.037,              251504,         1,         2
       313/1,             2810.11,             2810.11,             100.037,              251504,         2,         2
       313/2,             3376.76,             3376.76,             100.037,              251504,         2,         2
       313/3,             4380.84,             4380.84,             100.037,              251504,         5,         5
       313/4,             5599.42,             5599.42,             100.037,              251504,         5,         5
       314/0,                   0,                   0,              65.597,              200653,         1,         2
       314/1,             394.062,             394.062,              65.597,              200653,         2,         2
       314/2,             2855.77,             2855.77,              65.597,              200653,         2,         2
       314/3,              3675.4,              3675.4,              65.597,              200653,         3,         3
       314/4,             4997.47,             4997.47,              65.597,              200653,         3,         3
       315/0,                   0,                   0,              34.074,              144606,         1,         2
       315/1,             650.404,             650.404,              34.074,              144606,         2,         2
       315/2,             4052.49,             4052.49,              34.074,              144606,         3,         3
       315/3,             4069.79,             4069.79,              34.074,              144606,         2,         2
       315/4,             4151.98,             4151.98,              34.074,              144606,         3,         3
       316/0,                   0,                   0,              47.168,              230973,         1,         2
       316/1,             1851.09,             1851.09,              47.168,              230973,         2,         2
       316/2,             2096.89,             2096.89,              47.168,              230973,         2,         2
       316/3,             2473.04,             2473.04,              47.168,              230973,         2,         2
       316/4,             3836.93,             3836.93,              47.168,              230973,         2,         2
       317/0,                   0,                   0,              55.592,              112307,         1,         2
       317/1,             1026.46,             1026.46,              55.592,              112307,         2,         2
       317/2,             2662.73,             2662.73,              55.592,              112307,         3,         3
       317/3,             3978.08,             3978.08,              55.592,              112307,         2,         2
       317/4,             4052.71,             4052.71,              55.592,              112307,         2,         2
       318/0,                   0,                   0,              221.23,         1.12663e+06,         1,         2
       318/1,             4472.98,             4472.98,              221.23,         1.12663e+06,         2,         2
       318/2,             5370.78,             5370.78,              221.23,         1.12663e+06,         3,         3
       318/3,             6853.29,             6853.29,              221.23,         1.12663e+06,         3,         3
       318/4,             8363.44,             8363.44,              221.23,         1.12663e+06,         3,         3
       319/0,                   0,                   0,             103.719,              381793,         1,         2
       319/1,             1064.38,             1064.38,             103.719,              381793,         2,         2
       319/2,             2226.57,             2226.57,             103.719,              381793,         2,         2
       319/3,             6283.05,             6283.05,             103.719,              381793,         3,         3
       319/4,             6312.03,             6312.03,             103.719,              381793,         3,         3
       320/0,                   0,                   0,             127.252,              317164,         1,         2
       320/1,             4571.03,             4571.03,             127.252,              317164,         3,         3
       320/2,                6100,                6100,             127.252,              317164,         3,         3
       320/3,              8302.9,              8302.9,             127.252,              317164,         4,         5
       320/4,               11644,               11644,             127.252,              317164,         5,         5
       321/0,                   0,                   0,               55.85,               60943,         1,         2
       321/1,             4085.43,             4085.43,               55.85,               60943,         2,         2
       321/2,             4279.16,             4279.16,               55.85,               60943,         4,         4
       321/3,             4458.77,             4458.77,               55.85,               60943,         4,         4
       321/4,             4912.65,             4912.65,               55.85,               60943,         4,         4
       322/0,                   0,                   0,              79.134,              222390,         1,         2
       322/1,             1859.57,             1859.57,              79.134,              222390,         3,         3
       322/2,             2622.74,             2622.74,              79.134,              222390,         2,         2
       322/3,             2718.93,             2718.93,              79.134,              222390,         3,         3
       322/4,             6511.31,             6511.31,              79.134,              222390,         3,         3
       323/0,                   0,                   0,              21.533,             49976.6,         1,         2
       323/1,             637.781,             637.781,              21.533,             49976.6,         2,         2
       323/2,                1980,                1980,              21.533,             49976.6,         2,         2
       323/3,             2246.22,             2246.22,              21.533,             49976.6,         2,         2
       323/4,             3957.44,             3957.44,              21.533,             49976.6,         2,         2
       324/0,                   0,                   0,              21.691,             89328.1,         1,         2
       324/1,             359.288,             359.288,              21.691,             89328.1,         2,         2
       324/2,             878.103,             878.103,              21.691,             89328.1,         2,         2
       324/3,             1930.96,             1930.96,              21.691,             89328.1,         2,         2
       324/4,             2576.72,             2576.72,              21.691,             89328.1,         2,         2
       325/0,                   0,                   0,              80.817,              409675,         1,         2
       325/1,             2523.49,             2523.49,              80.817,              409675,         2,         2
       325/2,             3605.05,             3605.05,              80.817,              409675,         2,         2
       325/3,                4386,                4386,              80.817,              409675,         4,         4
       325/4,             5030.78,             5030.78,              80.817,              409675,         3,         3
       326/0,                   0,                   0,             161.006,             90390.7,         1,         2
       326/1,             4160.56,             4160.56,             161.006,             90390.7,         4,         4
       326/2,             4571.03,             4571.03,             161.006,             90390.7,         3,         3
       326/3,             5587.84,             5587.84,             161.006,             90390.7,         2,         2
       326/4,             7079.02,             7079.02,             161.006,             90390.7,         4,         4
       327/0,                   0,                   0,              40.792,              209626,         1,         2
       327/1,              2382.1,              2382.1,              40.792,              209626,         3,         3
       327/2,             4261.35,             4261.35,              40.792,              209626,         3,         3
       327/3,             5034.21,             5034.21,              40.792,              209626,         3,         3
       327/4,             5191.57,             5191.57,              40.792,              209626,         2,         2
       328/0,                   0,                   0,              54.685,              266121,         1,         2
       328/1,             3867.79,             3867.79,              54.685,              266121,         2,         2
       328/2,             4038.64,             4038.64,              54.685,              266121,         3,         3
       328/3,             5598.27,             5598.27,              54.685,              266121,         3,         3
       328/4,             6385.67,             6385.67,              54.685,              266121,         3,         3
       329/0,                   0,                   0,              53.741,              222504,         1,         2
       329/1,             3122.03,             3122.03,              53.741,              222504,         2,         2
       329/2,             3566.44,             3566.44,              53.741,              222504,         2,         2
       329/3,             3866.79,             3866.79,              53.741,              222504,         2,         2
       329/4,              4104.8,              4104.8,              53.741,              222504,         3,         3
       330/0,                   0,                   0,               34.43,              287305,         1,         2
       330/1,             2317.14,             2317.14,               34.43,              287305,         2,         2
       330/2,             2770.01,             2770.01,               34.43,              287305,         2,         2
       330/3,             3456.79,             3456.79,               34.43,              287305,         3,         3
       330/4,             3941.31,             3941.31,               34.43,              287305,         2,         2
       331/0,                   0,                   0,              29.085,             33881.1,         1,         2
