vertices: 3940, polygons: 4498
       idx,             dist_ki,           dist_edbt,             cost_ki,           cost_edbt,   vnum_ki, vnum_edbt
        33/0,                   0,                   0,              24.666,             70819.8,         1,         2
        33/1,             535.699,             535.699,              24.666,             70819.8,         2,         2
        33/2,             825.156,             825.156,              24.666,             70819.8,         2,         2
        33/3,             1649.74,             1649.74,              24.666,             70819.8,         2,         2
        33/4,             3113.36,             3113.36,              24.666,             70819.8,         2,         2
        34/0,                   0,                   0,               20.13,             73352.4,         1,         2
        34/1,             654.417,             654.417,               20.13,             73352.4,         2,         2
        34/2,              1371.9,              1371.9,               20.13,             73352.4,         2,         2
        34/3,             2729.59,             2729.59,               20.13,             73352.4,         2,         2
        34/4,             2846.82,             2846.82,               20.13,             73352.4,         2,         2
        35/0,                   0,                   0,              76.824,              450166,         1,         2
        35/1,             1508.99,             1508.99,              76.824,              450166,         2,         2
        35/2,             4943.69,             4943.69,              76.824,              450166,         6,         6
        35/3,             5212.04,             5212.04,              76.824,              450166,         4,         4
        35/4,             5849.59,             5849.59,              76.824,              450166,         2,         2
        36/0,                   0,                   0,              41.666,              103378,         1,         2
        36/1,                2678,                2678,              41.666,              103378,         2,         2
        36/2,             3173.46,             3173.46,              41.666,              103378,         2,         2
        36/3,              3310.5,              3310.5,              41.666,              103378,         2,         2
        36/4,             3641.07,             3641.07,              41.666,              103378,         2,         2
        37/0,                   0,                   0,              34.599,             69897.6,         1,         2
        37/1,             3265.32,             3265.32,              34.599,             69897.6,         2,         2
        37/2,             3477.28,             3477.28,              34.599,             69897.6,         2,         2
        37/3,             4085.43,             4085.43,              34.599,             69897.6,         2,         2
        37/4,             4652.35,             4652.35,              34.599,             69897.6,         2,         2
        38/0,                   0,                   0,             118.757,              516530,         1,         2
        38/1,              5672.6,              5672.6,             118.757,              516530,         4,         4
        38/2,             8592.57,             8592.57,             118.757,              516530,         4,         4
        38/3,             9402.11,             9402.11,             118.757,              516530,         3,         3
        38/4,             10055.3,             10055.3,             118.757,              516530,         8,         8
        39/0,                   0,                   0,               34.64,              103068,         1,         2
        39/1,              2977.1,              2977.1,               34.64,              103068,         3,         3
        39/2,             3113.74,             3113.74,               34.64,              103068,         3,         3
        39/3,             3477.98,             3477.98,               34.64,              103068,         2,         2
        39/4,             4595.48,             4595.48,               34.64,              103068,         3,         3
        40/0,                   0,                   0,              58.275,              209948,         1,         2
        40/1,             4981.38,             4981.38,              58.275,              209948,         2,         2
        40/2,              4986.2,              4986.2,              58.275,              209948,         2,         2
        40/3,                5024,                5024,              58.275,              209948,         2,         2
        40/4,             5300.21,             5300.21,              58.275,              209948,         2,         2
        41/0,                   0,                   0,              56.202,             85363.8,         1,         2
        41/1,             454.089,             454.089,              56.202,             85363.8,         2,         2
        41/2,             3095.12,             3095.12,              56.202,             85363.8,         3,         3
        41/3,             3983.12,             3983.12,              56.202,             85363.8,         4,         4
        41/4,             4912.65,             4912.65,              56.202,             85363.8,         4,         4
        42/0,                   0,                   0,              32.376,              106120,         1,         2
        42/1,             1845.33,             1845.33,              32.376,              106120,         2,         2
        42/2,             2308.29,             2308.29,              32.376,              106120,         2,         2
        42/3,             2645.18,             2645.18,              32.376,              106120,         2,         2
        42/4,              3850.1,              3850.1,              32.376,              106120,         4,         4
        43/0,                   0,                   0,              66.316,              108482,         1,         2
        43/1,             1799.11,             1799.11,              66.316,              108482,         2,         2
        43/2,             3072.73,             3072.73,              66.316,              108482,         3,         3
        43/3,             3760.75,             3760.75,              66.316,              108482,         3,         3
        43/4,             5791.19,             5791.19,              66.316,              108482,         3,         3
        44/0,                   0,                   0,              45.169,              145206,         1,         2
        44/1,             2226.86,             2226.86,              45.169,              145206,         2,         2
        44/2,             2618.89,             2618.89,              45.169,              145206,         2,         2
        44/3,             3137.58,             3137.58,              45.169,              145206,         2,         2
        44/4,             4513.98,             4513.98,              45.169,              145206,         3,         3
        45/0,                   0,                   0,             108.336,              495574,         1,         2
        45/1,             3515.14,             3515.14,             108.336,              495574,         3,         3
        45/2,             3686.42,             3686.42,             108.336,              495574,         3,         3
        45/3,             6676.99,             6676.99,             108.336,              495574,         6,         6
        45/4,              6757.5,              6757.5,             108.336,              495574,         5,         5
        46/0,                   0,                   0,              17.487,              118880,         1,         2
        46/1,             1312.79,             1312.79,              17.487,              118880,         2,         2
        46/2,                1420,                1420,              17.487,              118880,         2,         2
        46/3,                2305,                2305,              17.487,              118880,         2,         2
        46/4,             3779.09,             3779.09,              17.487,              118880,         2,         2
        47/0,                   0,                   0,              40.709,              145746,         1,         2
        47/1,             2031.43,             2031.43,              40.709,              145746,         2,         2
        47/2,             2354.56,             2354.56,              40.709,              145746,         3,         3
        47/3,             4157.27,             4157.27,              40.709,              145746,         2,         2
        47/4,             4614.67,             4614.67,              40.709,              145746,         3,         3
        48/0,                   0,                   0,              68.639,              124925,         1,         2
        48/1,             4160.56,             4160.56,              68.639,              124925,         4,         4
        48/2,                6100,                6100,              68.639,              124925,         3,         3
        48/3,              6943.3,              6943.3,              68.639,              124925,         5,         5
        48/4,             7750.52,             7750.52,              68.639,              124925,         5,         5
        49/0,                   0,                   0,              44.368,             88014.8,         1,         2
        49/1,             617.681,             617.681,              44.368,             88014.8,         2,         2
        49/2,             2673.27,             2673.27,              44.368,             88014.8,         3,         3
        49/3,             3719.45,             3719.45,              44.368,             88014.8,         2,         2
        49/4,             4362.31,             4362.31,              44.368,             88014.8,         3,         3
        50/0,                   0,                   0,              53.213,              413264,         1,         2
        50/1,             2914.32,             2914.32,              53.213,              413264,         2,         2
        50/2,             3023.35,             3023.35,              53.213,              413264,         3,         3
        50/3,             4071.15,             4071.15,              53.213,              413264,         2,         2
        50/4,             4150.96,             4150.96,              53.213,              413264,         5,         5
        51/0,                   0,                   0,              39.687,              381447,         1,         2
        51/1,             574.645,             574.645,              39.687,              381447,         2,         2
        51/2,             1976.96,             1976.96,              39.687,              381447,         2,         2
        51/3,             2815.11,             2815.11,              39.687,              381447,         2,         2
        51/4,             3873.36,             3873.36,              39.687,              381447,         3,         3
        52/0,                   0,                   0,               57.17,              108084,         1,         2
        52/1,             1697.75,             1697.75,               57.17,              108084,         2,         2
        52/2,             1862.56,             1862.56,               57.17,              108084,         2,         2
        52/3,             3132.78,             3132.78,               57.17,              108084,         3,         3
        52/4,             4657.28,             4657.28,               57.17,              108084,         3,         3
        53/0,                   0,                   0,              81.149,              820370,         1,         2
        53/1,             1119.59,             1119.59,              81.149,              820370,         2,         2
        53/2,             2077.22,             2077.22,              81.149,              820370,         2,         2
        53/3,             3578.81,             3578.81,              81.149,              820370,         6,         6
        53/4,                3949,                3949,              81.149,              820370,         2,         2
        54/0,                   0,                   0,               43.05,             59457.4,         1,         2
        54/1,             3424.35,             3424.35,               43.05,             59457.4,         3,         3
        54/2,             5360.72,             5360.72,               43.05,             59457.4,         3,         3
        54/3,             5445.48,             5445.48,               43.05,             59457.4,         4,         4
        54/4,             6666.21,             6666.21,               43.05,             59457.4,         3,         3
        55/0,                   0,                   0,              45.368,              122888,         1,         2
        55/1,             879.539,             879.539,              45.368,              122888,         2,         2
        55/2,             2538.04,             2538.04,              45.368,              122888,         2,         2
        55/3,             4245.22,             4245.22,              45.368,              122888,         5,         5
        55/4,             4645.05,             4645.05,              45.368,              122888,         4,         4
        56/0,                   0,                   0,              31.862,             76870.9,         1,         2
        56/1,             342.317,             342.317,              31.862,             76870.9,         2,         2
        56/2,             2002.06,             2002.06,              31.862,             76870.9,         2,         2
        56/3,             4153.59,             4153.59,              31.862,             76870.9,         2,         2
        56/4,             4744.05,             4744.05,              31.862,             76870.9,         2,         2
        57/0,                   0,                   0,               38.08,             71181.5,         1,         2
        57/1,             1673.77,             1673.77,               38.08,             71181.5,         2,         2
        57/2,             2235.96,             2235.96,               38.08,             71181.5,         2,         2
        57/3,             3286.99,             3286.99,               38.08,             71181.5,         2,         2
        57/4,             3414.92,             3414.92,               38.08,             71181.5,         3,         3
        58/0,                   0,                   0,              41.615,             81622.5,         1,         2
        58/1,             1904.41,             1904.41,              41.615,             81622.5,         2,         2
        58/2,             3033.78,             3033.78,              41.615,             81622.5,         2,         2
        58/3,             3201.18,             3201.18,              41.615,             81622.5,         3,         3
        58/4,              3387.3,              3387.3,              41.615,             81622.5,         5,         5
        59/0,                   0,                   0,               52.35,         1.44701e+06,         1,         2
        59/1,             2077.22,             2077.22,               52.35,         1.44701e+06,         2,         2
        59/2,             2494.33,             2494.33,               52.35,         1.44701e+06,         2,         2
        59/3,             2660.97,             2660.97,               52.35,         1.44701e+06,         2,         2
        59/4,             3285.57,             3285.57,               52.35,         1.44701e+06,         3,         3
        60/0,                   0,                   0,              49.006,             54951.2,         1,         2
        60/1,             454.089,             454.089,              49.006,             54951.2,         2,         2
        60/2,             3018.77,             3018.77,              49.006,             54951.2,         3,         3
        60/3,             4437.18,             4437.18,              49.006,             54951.2,         4,         4
        60/4,             4458.77,             4458.77,              49.006,             54951.2,         4,         4
        61/0,                   0,                   0,              37.171,              123944,         1,         2
        61/1,             3918.25,             3918.25,              37.171,              123944,         2,         2
        61/2,             4879.44,             4879.44,              37.171,              123944,         2,         2
        61/3,             5182.79,             5182.79,              37.171,              123944,         3,         3
        61/4,             5536.04,             5536.04,              37.171,              123944,         2,         2
        62/0,                   0,                   0,              22.621,             51207.2,         1,         2
        62/1,             637.781,             637.781,              22.621,             51207.2,         2,         2
        62/2,             2120.95,             2120.95,              22.621,             51207.2,         2,         2
        62/3,             2600.76,             2600.76,              22.621,             51207.2,         2,         2
        62/4,             3517.54,             3517.54,              22.621,             51207.2,         2,         2
        63/0,                   0,                   0,              45.136,             92204.3,         1,         2
        63/1,             1173.89,             1173.89,              45.136,             92204.3,         2,         2
        63/2,             1783.53,             1783.53,              45.136,             92204.3,         2,         2
        63/3,             2539.17,             2539.17,              45.136,             92204.3,         2,         2
        63/4,             3888.52,             3888.52,              45.136,             92204.3,         2,         2
        64/0,                   0,                   0,              24.582,             60075.4,         1,         2
        64/1,             1845.33,             1845.33,              24.582,             60075.4,         2,         2
        64/2,             1932.83,             1932.83,              24.582,             60075.4,         2,         2
        64/3,             3044.98,             3044.98,              24.582,             60075.4,         4,         4
        64/4,             3458.36,             3458.36,              24.582,             60075.4,         4,         4
        65/0,                   0,                   0,              72.579,              294821,         1,         2
        65/1,             2084.81,             2084.81,              72.579,              294821,         2,         2
        65/2,             3379.79,             3379.79,              72.579,              294821,         2,         2
        65/3,             3919.87,             3919.87,              72.579,              294821,         4,         4
        65/4,             4155.23,             4155.23,              72.579,              294821,         2,         2
        66/0,                   0,                   0,              42.728,             81639.9,         1,         2
        66/1,             1144.54,             1144.54,              42.728,             81639.9,         2,         2
        66/2,             1159.76,             1159.76,              42.728,             81639.9,         2,         2
