         k,      dist,      rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   68.8569,         1,         6,         0,         0,    74.318,       236,    32.547,       119,    12.019,        42,     7.897,        42,   463.311,        43,       421,        28,         0,         0,   456.104,        43,       418,        28,         9,     5.096,        45,   5907.51,      8553,      6246,     15828,         6,        75
         1,   127.866,         1,         7,         0,         0,   414.768,      1060,   416.298,       965,     15.65,        56,    11.022,        56,   499.901,        56,       448,        31,         0,         0,   522.174,        56,       463,        31,        19,     8.273,        53,   5907.51,      8553,      6246,     15828,         6,        75
         1,   68.0733,         1,         5,         0,         0,    72.808,       238,    33.062,       121,    11.357,        40,     7.109,        40,   469.492,        41,       429,        27,         0,         0,     437.8,        41,       403,        27,         8,     8.396,        75,   5907.51,      8553,      6246,     15828,         6,        75
         1,    133.41,         1,         5,         0,         0,   336.064,       824,   217.659,       591,    21.028,        71,    15.733,        71,   814.106,        73,       741,        50,         0,         0,   802.359,        73,       728,        50,        16,    16.705,        93,   5907.51,      8553,      6246,     15828,         6,        75
         1,   105.072,         1,        10,         0,         0,   162.615,       451,   128.501,       361,    24.261,        74,    17.947,        74,    904.78,        76,       813,        54,         0,         0,   967.164,        76,       887,        54,        16,     1.946,        14,   5907.51,      8553,      6246,     15828,         6,        75
         1,   209.564,         1,        10,         0,         0,   429.114,      1108,   424.966,      1023,    35.768,       100,    27.436,       100,   1145.93,       100,      1038,        73,         0,         0,   1220.74,       100,      1102,        73,        20,    14.661,       108,   5907.51,      8553,      6246,     15828,         6,        75
         1,   162.344,         1,         8,         0,         0,   212.589,       555,   209.442,       499,    41.027,       124,    33.624,       124,   1363.81,       126,      1230,        85,         0,         0,   1589.32,       126,      1454,        85,        33,      9.21,        54,   5907.51,      8553,      6246,     15828,         6,        75
         1,   179.055,         1,         9,         0,         0,   429.021,      1097,    418.23,      1010,    20.093,        71,    14.453,        71,   722.518,        71,       650,        47,         0,         0,    717.04,        71,       645,        47,        18,     4.097,        31,   5907.51,      8553,      6246,     15828,         6,        75
         1,   54.5894,         1,         2,         0,         0,    87.525,       275,    42.981,       148,     6.337,        31,     3.837,        31,    193.14,        31,       171,        13,         0,         0,   188.826,        31,       168,        13,        12,    19.661,       142,   5907.51,      8553,      6246,     15828,         6,        75
         1,   9.31883,         1,         4,         0,         0,     25.72,        73,     5.095,        23,     4.629,        11,     1.873,        11,    88.707,        13,        80,         5,         0,         0,     95.31,        13,        88,         5,         3,     0.076,         5,   5907.51,      8553,      6246,     15828,         6,        75
         1,   96.7984,         1,         6,         0,         0,   334.962,       836,    343.54,       713,    87.866,       226,    77.731,       226,    3114.6,       227,      2831,       183,         0,         0,   3134.81,       227,      2847,       183,        38,    16.013,       129,   5907.51,      8553,      6246,     15828,         6,        75
         1,   188.458,         1,         9,         0,         0,   512.266,      1263,    598.91,      1094,    82.194,       248,   102.583,       248,   3009.49,       248,      2725,       184,         0,         0,   2951.29,       248,      2676,       184,        48,     8.047,        70,   5907.51,      8553,      6246,     15828,         6,        75
         1,    167.41,         1,         8,         0,         0,   201.538,       550,   176.017,       502,    42.301,       133,     34.79,       133,    1577.3,       135,      1431,        91,         0,         0,   1487.59,       135,      1348,        91,        32,    11.682,       107,   5907.51,      8553,      6246,     15828,         6,        75
