         k,      dist, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   2.23607,         0,         0,    47.042,        58,     3.083,        10,     7.875,         1,     0.026,         1,    183.54,         8,       180,         2,         0,     0.083,         7,   19135.1,      8419,      6246,     15344,        38,        75
         1,   21.0238,         0,         0,   129.091,       170,    38.408,        62,     9.617,         8,     1.775,         8,   372.182,        12,       365,         4,         0,     6.116,        27,   19135.1,      8419,      6246,     15344,        38,        75
         1,   4.16228,         0,         0,    164.76,       190,    13.154,        26,    10.677,        10,     2.848,        10,   443.936,        12,       434,         5,         0,     19.78,        59,   19135.1,      8419,      6246,     15344,        38,        75
         1,   10.7703,         0,         0,    40.618,        60,     8.336,        18,     9.419,         8,     1.412,         8,   267.542,        10,       262,         3,         0,     4.793,        28,   19135.1,      8419,      6246,     15344,        38,        75
         1,   20.1246,         0,         0,    30.296,        37,    24.039,        33,    11.207,        12,     3.334,        12,   290.787,        12,       283,         3,         0,     20.14,        93,   19135.1,      8419,      6246,     15344,        38,        75
         1,   25.9364,         0,         0,    94.289,       132,    40.346,        58,    20.036,        18,     9.847,        18,   1101.17,        22,      1080,        13,         0,     2.239,         8,   19135.1,      8419,      6246,     15344,        38,        75
         1,   47.2652,         0,         0,   395.812,       325,   228.256,       233,     16.14,        17,     8.074,        17,   651.483,        19,       630,         9,         0,     85.31,       218,   19135.1,      8419,      6246,     15344,        38,        75
         1,    82.117,         0,         0,   257.332,       287,   147.297,       184,    79.839,        87,    64.826,        87,   6020.17,        90,      5889,        69,         0,    34.034,        92,   19135.1,      8419,      6246,     15344,        38,        75
         1,    7.7082,         0,         0,    65.406,        88,    11.264,        21,    10.388,         7,     1.983,         7,    96.438,         7,        92,         1,         0,     3.978,        20,   19135.1,      8419,      6246,     15344,        38,        75
         1,   19.9249,         0,         0,    52.372,        59,    24.804,        36,    11.174,        12,     3.467,        12,   293.014,        12,       285,         3,         0,    15.451,        66,   19135.1,      8419,      6246,     15344,        38,        75
         1,   36.9559,         0,         0,    84.872,       100,    56.034,        69,     14.35,        11,     5.891,        11,   539.247,        14,       525,         6,         0,     7.339,        13,   19135.1,      8419,      6246,     15344,        38,        75
         1,   22.2036,         0,         0,   348.884,       401,    103.07,       155,    10.424,         9,     2.473,         9,   361.713,        12,       355,         4,         0,    35.272,       107,   19135.1,      8419,      6246,     15344,        38,        75
         1,   29.5736,         0,         0,    92.805,       123,     56.81,        77,    18.666,        20,    10.138,        20,   1269.76,        24,      1245,        14,         0,     1.796,         7,   19135.1,      8419,      6246,     15344,        38,        75
         1,   3.16228,         0,         0,    121.57,       102,     3.878,        12,     8.117,         5,     0.162,         5,   188.561,         8,       185,         2,         0,     0.526,        20,   19135.1,      8419,      6246,     15344,        38,        75
         1,   29.4279,         0,         0,    52.374,        68,    36.013,        53,     12.36,        12,     4.325,        12,   544.248,        15,       532,         6,         0,    11.831,        39,   19135.1,      8419,      6246,     15344,        38,        75
         1,     30.38,         0,         0,   106.283,       143,    42.774,        60,    21.913,        25,    12.327,        25,   1550.77,        28,      1521,        17,         0,     7.612,        26,   19135.1,      8419,      6246,     15344,        38,        75
         1,         5,         0,         0,   111.548,       149,     0.832,         6,     7.647,         1,     0.016,         1,     0.625,         6,         0,         0,         0,    21.119,        78,   19135.1,      8419,      6246,     15344,        38,        75
         1,   144.082,         0,         0,   223.961,       250,   144.271,       170,   3091.41,      2823,   2999.31,      2823,    7473.4,       105,      7317,        85,         0,     8.357,        30,   19135.1,      8419,      6246,     15344,        38,        75
         1,   31.9455,         0,         0,   203.493,       191,   119.699,       128,    27.106,        20,      8.14,        20,   845.129,        21,       826,        10,         0,    40.377,       109,   19135.1,      8419,      6246,     15344,        38,        75
         1,   6.08276,         0,         0,    76.701,        97,     8.165,        17,     8.763,         7,     0.835,         7,   302.419,        11,       298,         3,         0,     4.167,        39,   19135.1,      8419,      6246,     15344,        38,        75
         1,   65.0336,         0,         0,   388.932,       330,   224.802,       237,    24.927,        34,    17.259,        34,   1724.41,        36,      1686,        20,         0,   357.846,       758,   19135.1,      8419,      6246,     15344,        38,        75
         1,   29.0172,         0,         0,   470.615,       535,   192.605,       256,    13.029,        12,     4.373,        12,   610.665,        15,       598,         6,         0,    39.675,       118,   19135.1,      8419,      6246,     15344,        38,        75
         1,   80.4494,         0,         0,   256.729,       286,   149.436,       184,     74.02,        86,    62.746,        86,   5905.77,        89,      5776,        69,         0,    28.843,        70,   19135.1,      8419,      6246,     15344,        38,        75
         1,        24,         0,         0,    87.125,       118,    27.924,        46,    13.926,        17,     6.165,        17,   451.471,        18,       439,         6,         0,    27.762,        80,   19135.1,      8419,      6246,     15344,        38,        75
         1,     53.25,         0,         0,   223.084,       249,   115.922,       148,    49.178,        74,    40.311,        74,    2908.6,        51,      2853,        33,         0,    76.238,       191,   19135.1,      8419,      6246,     15344,        38,        75
         1,   47.3246,         0,         0,   259.236,       296,   107.277,       127,    77.947,       108,    64.754,       108,   3767.15,        56,      3698,        41,         0,    21.509,        45,   19135.1,      8419,      6246,     15344,        38,        75
         1,   2.82843,         0,         0,    14.203,        20,     3.336,        10,     8.162,         5,     0.144,         5,   187.877,         8,       184,         2,         0,     0.512,        20,   19135.1,      8419,      6246,     15344,        38,        75
         1,   37.9033,         0,         0,   183.879,       213,    74.347,       102,   129.128,       157,     91.19,       157,   2739.72,        46,      2687,        32,         0,    18.572,        46,   19135.1,      8419,      6246,     15344,        38,        75
         1,   4.47214,         0,         0,    61.277,        87,     2.037,         8,     7.984,         5,     0.157,         5,   180.099,         8,       176,         2,         0,       6.2,        35,   19135.1,      8419,      6246,     15344,        38,        75
         1,   28.6432,         0,         0,   199.831,       227,    92.627,        87,    35.483,        39,    25.681,        39,    2910.2,        52,      2851,        34,         0,    22.452,        54,   19135.1,      8419,      6246,     15344,        38,        75
         1,   29.9849,         0,         0,   477.721,       515,   168.463,       224,    19.695,        22,    10.515,        22,   1188.87,        24,      1166,        13,         0,     4.971,        13,   19135.1,      8419,      6246,     15344,        38,        75
         1,   66.9938,         0,         0,   267.304,       288,   137.495,       174,    38.197,        46,    28.517,        46,   2812.57,        48,      2745,        31,         0,     32.15,       103,   19135.1,      8419,      6246,     15344,        38,        75
         1,   8.24621,         0,         0,    59.734,        65,     9.293,        14,    10.532,         8,     2.449,         8,    279.99,        10,       272,         3,         0,     3.408,        10,   19135.1,      8419,      6246,     15344,        38,        75
         1,   19.3019,         0,         0,    96.207,       126,    38.926,        59,    13.167,        12,     4.232,        12,   465.546,        14,       454,         6,         0,    11.417,        45,   19135.1,      8419,      6246,     15344,        38,        75
         1,   7.09902,         0,         0,    48.549,        64,     6.784,        17,     11.11,        12,     3.188,        12,   265.098,        13,       257,         3,         0,    11.805,        57,   19135.1,      8419,      6246,     15344,        38,        75
         1,   17.1172,         0,         0,   195.471,       235,    43.002,        65,    12.105,        11,      3.85,        11,    495.19,        13,       485,         5,         0,     8.572,        25,   19135.1,      8419,      6246,     15344,        38,        75
         1,   32.4835,         0,         0,   130.291,       153,    56.399,        76,    15.388,        18,     6.726,        18,   798.891,        21,       782,         9,         0,    26.224,        70,   19135.1,      8419,      6246,     15344,        38,        75
         1,   19.4165,         0,         0,    75.461,        92,    25.136,        39,    21.247,        18,     5.823,        18,   457.747,        18,       445,         6,         0,    24.762,        81,   19135.1,      8419,      6246,     15344,        38,        75
         1,   7.07107,         0,         0,      86.8,       117,    11.034,        23,     8.705,         7,     0.788,         7,   271.688,        10,       267,         3,         0,     7.825,        53,   19135.1,      8419,      6246,     15344,        38,        75
         1,    39.363,         0,         0,   302.713,       351,    111.14,       141,    41.922,        52,    31.043,        52,    3280.6,        55,      3218,        35,         0,    19.061,        67,   19135.1,      8419,      6246,     15344,        38,        75
         1,   104.237,         0,         0,   242.529,       259,   159.944,       181,   145.835,       164,   131.621,       164,   3544.78,        62,      3455,        45,         0,    24.487,        47,   19135.1,      8419,      6246,     15344,        38,        75
         1,        10,         0,         0,    67.416,        97,    11.827,        26,     9.848,         8,      1.28,         8,   273.218,        11,       268,         3,         0,     5.571,        41,   19135.1,      8419,      6246,     15344,        38,        75
         1,   45.0111,         0,         0,   328.716,       365,   127.435,       175,    12.441,        15,     4.536,        15,   643.177,        18,       620,         7,         0,    21.607,        85,   19135.1,      8419,      6246,     15344,        38,        75
         1,   18.9105,         0,         0,   134.521,       176,    33.189,        56,    20.686,        25,    11.319,        25,   1211.06,        28,      1185,        14,         0,      3.81,        17,   19135.1,      8419,      6246,     15344,        38,        75
         1,   27.1278,         0,         0,   129.567,       170,    40.699,        59,    12.584,        13,     4.578,        13,   618.242,        15,       606,         7,         0,    13.601,        45,   19135.1,      8419,      6246,     15344,        38,        75
         1,   29.3693,         0,         0,   136.807,       152,    79.822,       108,     20.03,        20,    10.336,        20,   1234.83,        24,      1209,        15,         0,     3.898,        25,   19135.1,      8419,      6246,     15344,        38,        75
         1,   6.40312,         0,         0,    78.409,       114,     5.097,        15,     8.068,         3,     0.026,         3,     0.495,         7,         0,         0,         0,     0.083,        15,   19135.1,      8419,      6246,     15344,        38,        75
         1,   35.4793,         0,         0,   124.729,       150,    75.913,        73,    13.636,        13,     5.722,        13,   554.604,        15,       540,         8,         0,    18.208,        55,   19135.1,      8419,      6246,     15344,        38,        75
         1,   38.0132,         0,         0,    77.007,        99,    49.341,        75,     17.27,        22,     9.025,        22,   810.126,        25,       790,        10,         0,    48.623,       172,   19135.1,      8419,      6246,     15344,        38,        75
         1,   45.0111,         0,         0,   388.774,       321,   218.824,       228,    17.547,        20,     9.555,        20,   787.256,        22,       758,         9,         0,   250.479,       658,   19135.1,      8419,      6246,     15344,        38,        75
         1,   12.6491,         0,         0,    84.923,       111,    18.798,        37,     8.081,         5,     0.156,         5,   190.542,         9,       187,         2,         0,    18.252,        95,   19135.1,      8419,      6246,     15344,        38,        75
         1,   67.3565,         0,         0,   292.048,       289,   166.863,       187,    62.383,        77,    51.455,        77,   5283.48,        80,      5185,        61,         0,    32.334,       103,   19135.1,      8419,      6246,     15344,        38,        75
         1,    12.083,         0,         0,     45.76,        65,    16.145,        32,     8.699,         6,     0.774,         6,   177.623,         8,       173,         2,         0,      4.55,        25,   19135.1,      8419,      6246,     15344,        38,        75
         1,     50.43,         0,         0,   164.342,       204,    89.925,       118,    67.683,        93,    55.012,        93,    1990.3,        36,      1951,        23,         0,     2.308,         8,   19135.1,      8419,      6246,     15344,        38,        75
         1,   53.5478,         0,         0,   271.764,       292,   156.366,       179,    23.844,        26,    15.055,        26,   1440.52,        28,      1410,        15,         0,    45.098,       125,   19135.1,      8419,      6246,     15344,        38,        75
         1,   39.8121,         0,         0,   425.463,       466,   161.534,       206,    28.196,        31,    16.656,        31,   1344.52,        33,      1313,        15,         0,    21.724,        49,   19135.1,      8419,      6246,     15344,        38,        75
         1,   13.4536,         0,         0,   125.032,       144,    27.334,        28,     9.731,         8,     1.735,         8,   274.384,        10,       268,         3,         0,    13.527,        60,   19135.1,      8419,      6246,     15344,        38,        75
         1,        19,         0,         0,   160.948,       201,    20.544,        40,     8.289,         7,     0.777,         7,   272.031,        10,       266,         3,         0,     2.582,        25,   19135.1,      8419,      6246,     15344,        38,        75
         1,   11.1803,         0,         0,    70.397,        77,    29.176,        44,     12.54,        11,     4.435,        11,   459.087,        15,       446,         5,         0,     8.488,        20,   19135.1,      8419,      6246,     15344,        38,        75
         1,   3.16228,         0,         0,     61.84,        85,     0.786,         6,     7.813,         1,     0.026,         1,      0.57,         6,         0,         0,         0,     0.091,         8,   19135.1,      8419,      6246,     15344,        38,        75
         1,   53.9449,         0,         0,   392.847,       447,     164.4,       228,      22.4,        30,    12.824,        30,   1466.58,        33,      1438,        18,         0,    57.784,       171,   19135.1,      8419,      6246,     15344,        38,        75
         1,   9.05539,         0,         0,    62.473,        76,     8.776,        20,     8.059,         1,     0.016,         1,     0.549,         7,         0,         0,         0,     0.091,         9,   19135.1,      8419,      6246,     15344,        38,        75
         1,   45.2769,         0,         0,    48.183,        67,    31.617,        48,    15.086,        20,     7.267,        20,   632.448,        20,       616,         7,         0,    30.964,        90,   19135.1,      8419,      6246,     15344,        38,        75
         1,    19.799,         0,         0,   123.076,       175,    18.947,        34,     9.607,         9,     1.981,         9,   388.516,        13,       381,         4,         0,    12.805,        71,   19135.1,      8419,      6246,     15344,        38,        75
         1,    71.021,         0,         0,   273.237,       254,   251.537,       233,   981.426,       923,   952.964,       923,   7496.08,       106,      7318,        86,         0,     9.893,        37,   19135.1,      8419,      6246,     15344,        38,        75
         1,   22.8494,         0,         0,    82.699,       119,    27.358,        49,     13.12,        15,      5.09,        15,   640.545,        19,       624,         8,         0,    20.427,        63,   19135.1,      8419,      6246,     15344,        38,        75
         1,   66.6136,         0,         0,   231.053,       252,   133.654,       162,    65.653,        74,    52.878,        74,   4816.65,        74,      4719,        56,         0,    16.054,        56,   19135.1,      8419,      6246,     15344,        38,        75
         1,   47.9271,         0,         0,   249.495,       282,   139.203,       176,    36.986,        48,    25.968,        48,   3218.19,        51,      3161,        37,         0,     9.654,        31,   19135.1,      8419,      6246,     15344,        38,        75
         1,   64.0777,         0,         0,   196.129,       226,   117.868,       143,    95.974,       121,    82.268,       121,   2657.86,        47,      2604,        32,         0,     3.448,        15,   19135.1,      8419,      6246,     15344,        38,        75
         1,   33.7722,         0,         0,   204.311,       241,   128.206,       148,    20.365,        25,    11.262,        25,   1155.51,        28,      1132,        14,         0,    53.213,       181,   19135.1,      8419,      6246,     15344,        38,        75
         1,   8.48528,         0,         0,   145.059,       171,    18.293,        37,    10.629,         9,     2.427,         9,   357.694,        11,       350,         4,         0,     5.539,        21,   19135.1,      8419,      6246,     15344,        38,        75
         1,   43.7955,         0,         0,    81.257,        90,    57.448,        72,    23.279,        24,    12.982,        24,   1344.45,        27,      1314,        14,         0,     5.502,        29,   19135.1,      8419,      6246,     15344,        38,        75
         1,   29.0172,         0,         0,   434.258,       502,   160.138,       208,    12.852,        14,     4.569,        14,   532.511,        16,       521,         6,         0,    20.912,        72,   19135.1,      8419,      6246,     15344,        38,        75
         1,        16,         0,         0,    76.158,        94,    29.676,        50,      9.63,         9,     1.681,         9,   360.856,        12,       355,         4,         0,      5.47,        31,   19135.1,      8419,      6246,     15344,        38,        75
         1,   13.3417,         0,         0,    48.571,        66,     9.147,        17,     10.01,         9,     2.222,         9,   352.356,        12,       345,         4,         0,     7.327,        31,   19135.1,      8419,      6246,     15344,        38,        75
