         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   112.147,         1,         1,         2,         0,         0,    15.198,        28,     2.435,        10,   606.077,         6,     0.456,         6,   1550.21,        10,      1545,         3,         0,         0,   1123.52,        10,      1119,         3,         1,     1.166,        15,    496737,    390046,    188905,    307713,      7547,      8385
         1,   1246.89,         2,         2,         2,         0,         0,   1221.92,      2840,    31.814,        98,   583.516,        35,     4.111,        35,   2049.37,        20,      2039,        10,         0,         0,   1646.26,        20,      1634,        10,         2,    12.055,       117,    496737,    390046,    188905,    307713,      7547,      8385
         1,    462.65,         2,         2,         2,         0,         0,    39.643,        76,     6.135,        17,   454.328,        31,     4.062,        31,   3979.68,        13,      3973,         5,         0,         0,   2810.82,        13,      2805,         5,         2,     6.388,        61,    496737,    390046,    188905,    307713,      7547,      8385
         1,    1280.5,         1,         1,         2,         0,         0,   500.357,      1122,    23.919,        88,    446.85,        11,     1.371,        11,   2605.51,        15,      2596,         6,         0,         0,   3096.27,        15,      3089,         6,         3,      4.58,        43,    496737,    390046,    188905,    307713,      7547,      8385
         1,   890.627,         1,         1,         5,         0,         0,   318.539,       910,    10.305,        42,   440.846,        14,     2.395,        14,   4921.61,        18,      4905,        12,         0,         0,   5391.57,        18,      5375,        12,         0,     7.807,        83,    496737,    390046,    188905,    307713,      7547,      8385
         1,   404.625,         1,         1,         2,         0,         0,   251.891,       622,     6.299,        25,   580.914,         7,     0.954,         7,   1175.66,        10,      1171,         3,         0,         0,   1453.61,        10,      1449,         3,         1,         3,        29,    496737,    390046,    188905,    307713,      7547,      8385
         1,   107.517,         1,         1,         2,         0,         0,    13.194,        26,     1.375,         6,   444.149,         1,     0.012,         1,     0.271,         4,         0,         0,         0,         0,     0.422,         4,         0,         0,         0,     0.028,         4,    496737,    390046,    188905,    307713,      7547,      8385
         1,   581.414,         1,         1,         2,         0,         0,   338.296,       698,     7.507,        29,    560.18,         7,     0.678,         7,   1758.44,        13,      1753,         3,         0,         0,   2026.89,        13,      2022,         3,         1,     1.807,        20,    496737,    390046,    188905,    307713,      7547,      8385
         1,       123,         1,         1,         2,         0,         0,    14.965,        32,      1.59,         7,   587.857,         4,     0.032,         4,    1159.7,         7,      1157,         2,         0,         0,    1331.2,         7,      1329,         2,         0,     4.056,        23,    496737,    390046,    188905,    307713,      7547,      8385
         1,   187.926,         1,         1,         2,         0,         0,   250.127,       591,      1.15,         7,   526.506,         1,     0.031,         1,     0.412,         5,         0,         0,         0,         0,     0.322,         5,         0,         0,         0,     5.006,        37,    496737,    390046,    188905,    307713,      7547,      8385
         1,   285.687,         1,         1,         2,         0,         0,   211.412,       405,     4.078,        23,   552.817,         5,     0.041,         5,   1035.25,         9,      1033,         2,         0,         0,   1241.79,         9,      1240,         2,         0,     1.416,        50,    496737,    390046,    188905,    307713,      7547,      8385
         1,   917.606,         2,         2,         2,         0,         0,   514.047,      1241,    16.824,        51,   436.044,        27,     2.602,        27,   3288.25,        13,      3281,         5,         0,         0,   3694.29,        13,      3686,         5,         1,    13.917,       142,    496737,    390046,    188905,    307713,      7547,      8385
         1,   152.977,         1,         1,         2,         0,         0,   220.767,       624,     2.796,        10,   481.013,         4,     0.034,         4,   712.032,         7,       710,         2,         0,         0,   565.425,         7,       563,         2,         0,     0.263,        12,    496737,    390046,    188905,    307713,      7547,      8385
         1,   809.129,         1,         1,         3,         0,         0,   366.949,       744,    15.445,        34,   569.363,        12,     1.734,        12,   3043.17,        14,      3029,         8,         0,         0,   3467.85,        14,      3453,         8,         1,     6.884,        34,    496737,    390046,    188905,    307713,      7547,      8385
         1,   56.4624,         1,         1,         2,         0,         0,   258.813,       651,     0.785,         5,    822.99,         1,     0.039,         1,     0.465,         5,         0,         0,         0,         0,     0.492,         5,         0,         0,         0,     0.066,         6,    496737,    390046,    188905,    307713,      7547,      8385
         1,   461.395,         1,         1,         3,         0,         0,   369.374,       820,    11.356,        28,   778.884,         9,     1.445,         9,    3423.6,        11,      3416,         4,         0,         0,   2722.94,        11,      2717,         4,         2,     10.84,        40,    496737,    390046,    188905,    307713,      7547,      8385
         1,   491.147,         1,         1,         3,         0,         0,    26.966,        62,     5.642,        17,    461.03,        10,     1.453,        10,    1913.3,        12,      1906,         6,         0,         0,   1380.95,        12,      1372,         6,         2,     0.637,         6,    496737,    390046,    188905,    307713,      7547,      8385
         1,   460.935,         1,         1,         2,         0,         0,    26.059,        50,     7.354,        22,   698.473,         6,     0.395,         6,   1792.46,        10,      1785,         4,         0,         0,   1493.61,        10,      1488,         4,         1,     2.514,        23,    496737,    390046,    188905,    307713,      7547,      8385
         1,   480.521,         1,         1,         2,         0,         0,   241.508,       703,     7.158,        25,   446.514,         6,     0.615,         6,   1644.62,        10,      1641,         3,         0,         0,   1412.75,        10,      1408,         3,         1,     1.644,        15,    496737,    390046,    188905,    307713,      7547,      8385
         1,    969.46,         1,         1,         4,         0,         0,   537.231,      1381,     14.79,        54,   452.314,        13,     1.499,        13,   5337.57,        17,      5327,         8,         0,         0,   4870.61,        17,      4863,         8,         2,     5.716,        72,    496737,    390046,    188905,    307713,      7547,      8385
         1,   1018.98,         2,         2,         2,         0,         0,   696.636,      1721,    34.045,       114,   457.733,        49,      9.91,        49,   5858.16,        22,      5841,        12,         0,         0,   7959.75,        22,      7944,        12,         4,    29.399,       261,    496737,    390046,    188905,    307713,      7547,      8385
         1,   277.651,         1,         1,         2,         0,         0,   253.806,       633,     2.901,        13,   480.078,         6,     0.182,         6,   563.903,         8,       561,         2,         0,         0,   346.358,         8,       343,         2,         0,      0.83,        22,    496737,    390046,    188905,    307713,      7547,      8385
         1,   613.892,         1,         1,         3,         0,         0,   427.749,       988,    12.998,        48,   448.056,        11,     1.161,        11,      1847,        13,      1841,         3,         0,         0,   2095.94,        13,      2091,         3,         3,     5.792,        64,    496737,    390046,    188905,    307713,      7547,      8385
         1,   186.775,         1,         1,         2,         0,         0,    26.298,        76,     0.246,         7,   447.053,         1,     0.013,         1,     0.481,         7,         0,         0,         0,         0,     0.358,         7,         0,         0,         0,     0.303,        19,    496737,    390046,    188905,    307713,      7547,      8385
