         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   36.3874,         1,         1,         5,         0,         0,   108.194,       237,    70.284,       191,     8.342,        23,     5.202,        23,   249.964,        23,       233,        12,         0,         0,   295.586,        23,       276,        12,         6,     6.859,        30,     11493,      8432,      6246,      8037,         8,        75
         1,     29.03,         1,         1,         4,         0,         0,   103.793,       231,    32.351,       108,     8.994,        20,     5.623,        20,   249.259,        24,       233,        12,         0,         0,   216.351,        24,       203,        12,         6,     5.256,        25,     11493,      8432,      6246,      8037,         8,        75
         1,   80.0999,         1,         1,         2,         0,         0,    200.35,       310,   126.622,       267,     6.118,        29,     4.357,        29,   308.299,        31,       284,        15,         0,         0,   246.345,        31,       225,        15,        11,    25.301,        99,     11493,      8432,      6246,      8037,         8,        75
         1,   54.3823,         1,         1,         4,         0,         0,    83.196,       123,    26.126,        76,     11.67,        34,     7.671,        34,   583.608,        36,       549,        23,         0,         0,   499.547,        36,       467,        23,         8,      8.17,        46,     11493,      8432,      6246,      8037,         8,        75
         1,   80.2274,         1,         1,         8,         0,         0,   311.364,       747,   291.794,       629,    29.212,        80,    30.895,        80,   1438.59,        80,      1345,        61,         0,         0,   1470.62,        80,      1380,        61,        12,    12.424,        69,     11493,      8432,      6246,      8037,         8,        75
         1,   84.7642,         1,         1,         7,         0,         0,   413.316,       802,   413.293,       665,    21.028,        64,     15.22,        64,   973.599,        64,       906,        43,         0,         0,   1013.92,        64,       951,        43,        15,    35.661,       177,     11493,      8432,      6246,      8037,         8,        75
         1,   5.09902,         1,         1,         2,         0,         0,    47.743,       119,     3.224,        15,     3.351,         7,     0.826,         7,    57.651,         9,        54,         3,         0,         0,   106.065,         9,        87,         3,         1,     2.641,        17,     11493,      8432,      6246,      8037,         8,        75
         1,   200.563,         3,         3,         6,         0,         0,   734.491,      1218,   708.314,      1119,   639.556,      1214,   681.677,      1214,   3518.59,       181,      3300,       147,         0,         0,   3096.04,       181,      2877,       147,        26,     3.803,        15,     11493,      8432,      6246,      8037,         8,        75
         1,   58.5986,         1,         1,         6,         0,         0,   341.539,       701,   234.325,       395,    15.952,        52,    11.207,        52,   690.645,        52,       632,        31,         0,         0,   576.772,        52,       533,        31,        14,     6.695,        40,     11493,      8432,      6246,      8037,         8,        75
         1,   12.4556,         1,         1,         4,         0,         0,    79.271,       144,    17.716,        43,      6.43,        16,     4.026,        16,   272.067,        16,       259,         8,         0,         0,   159.254,        16,       148,         8,         2,    11.129,        72,     11493,      8432,      6246,      8037,         8,        75
         1,   36.7151,         1,         1,         2,         0,         0,   186.951,       422,    79.834,       243,     4.787,        23,     2.933,        23,   201.225,        25,       189,        11,         0,         0,   281.342,        25,       266,        11,         9,    11.283,        53,     11493,      8432,      6246,      8037,         8,        75
         1,   44.1322,         1,         1,         5,         0,         0,   108.703,       187,    33.008,        87,    17.501,        33,     8.588,        33,   497.811,        37,       463,        22,         0,         0,   504.343,        37,       469,        22,         7,    14.957,        42,     11493,      8432,      6246,      8037,         8,        75
         1,   55.9979,         1,         1,         7,         0,         0,    338.25,       553,   118.644,       271,    21.574,        67,    14.618,        67,   1101.02,        67,      1002,        45,         0,         0,   1161.38,        67,      1101,        45,        12,       9.5,        86,     11493,      8432,      6246,      8037,         8,        75
         1,   39.0512,         1,         1,         2,         0,         0,   149.675,       168,    26.502,        74,     20.08,        16,     5.553,        16,    183.46,        18,       171,         9,         0,         0,   203.623,        18,       190,         9,         4,    11.712,        35,     11493,      8432,      6246,      8037,         8,        75
         1,   157.512,         2,         2,         9,         0,         0,     375.6,       564,   205.234,       378,    103.64,       276,   121.915,       276,   2212.04,       143,      2067,       113,         0,         0,    2025.3,       143,      1894,       113,        20,     4.738,        21,     11493,      8432,      6246,      8037,         8,        75
         1,   50.1662,         1,         1,         4,         0,         0,    251.43,       508,   124.731,       267,     14.13,        39,     9.736,        39,   461.062,        40,       427,        24,         0,         0,   432.521,        40,       395,        24,        11,     8.485,        55,     11493,      8432,      6246,      8037,         8,        75
         1,   54.6872,         1,         1,         3,         0,         0,   184.937,       251,   105.368,       187,     8.417,        26,     4.316,        26,   398.741,        29,       376,        16,         0,         0,    301.97,        29,       282,        16,         6,    13.662,        97,     11493,      8432,      6246,      8037,         8,        75
         1,   31.0483,         1,         1,         2,         0,         0,   131.393,       268,    48.169,       154,     3.144,        11,     0.824,        11,   124.465,        14,       118,         5,         0,         0,   127.224,        14,       121,         5,         3,    31.073,        49,     11493,      8432,      6246,      8037,         8,        75
         1,   122.102,         2,         2,         6,         0,         0,   665.841,       552,   254.279,       375,   163.969,       248,    89.757,       248,   2006.04,       137,      1812,       103,         0,         0,   2004.92,       137,      1807,       103,        22,     3.821,        26,     11493,      8432,      6246,      8037,         8,        75
         1,   40.7038,         1,         1,         5,         0,         0,   158.014,       206,    36.599,       107,    10.147,        30,      5.85,        30,     331.8,        30,       309,        18,         0,         0,   324.154,        30,       303,        18,         6,     6.104,        46,     11493,      8432,      6246,      8037,         8,        75
         1,   79.0429,         1,         1,         6,         0,         0,    406.68,       824,   297.679,       634,    28.618,        79,    18.917,        79,   989.019,        79,       878,        53,         0,         0,   930.404,        79,       852,        53,        19,     8.882,        27,     11493,      8432,      6246,      8037,         8,        75
         1,    32.648,         1,         1,         6,         0,         0,    74.291,       126,     29.35,        79,     8.793,        27,     5.633,        27,     311.2,        27,       286,        15,         0,         0,    305.72,        27,       283,        15,         8,     4.295,        15,     11493,      8432,      6246,      8037,         8,        75
         1,   102.278,         1,         1,         4,         0,         0,   221.375,       394,   140.249,       327,     6.401,        24,      4.99,        24,   263.009,        26,       239,        14,         0,         0,   278.186,        26,       255,        14,         6,    80.483,       489,     11493,      8432,      6246,      8037,         8,        75
         1,   53.1507,         1,         1,         2,         0,         0,   184.392,       334,   119.209,       243,     4.046,        17,     2.212,        17,    158.85,        20,       146,         9,         0,         0,   180.211,        20,       169,         9,         6,     8.434,        56,     11493,      8432,      6246,      8037,         8,        75
         1,   55.0986,         1,         1,         4,         0,         0,   134.384,       351,    82.702,       242,     6.432,        24,     5.288,        24,   208.588,        24,       194,        12,         0,         0,   224.603,        24,       210,        12,         6,     6.196,        61,     11493,      8432,      6246,      8037,         8,        75
