         k,      dist,      rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   5179.95,         1,         3,         0,         0,   5276.84,      9463,   215.136,       463,   135.658,        27,     3.966,        27,   1528.13,        30,      1497,        16,         0,         0,   1628.99,        30,      1599,        16,         4,    12.004,       147,    431960,    365015,    188905,    691136,       671,      8385
         1,    2992.7,         3,         7,         0,         0,   3961.55,      7253,   200.239,       505,   208.823,       229,    64.302,       229,   11818.2,       103,     11685,        83,         0,         0,   12319.7,       103,     12185,        83,         9,      9.04,        99,    431960,    365015,    188905,    691136,       671,      8385
         1,   2726.85,         1,         6,         0,         0,   3592.08,      6777,   167.711,       451,   140.442,        41,     8.606,        41,   3164.76,        45,      3116,        31,         0,         0,   3176.64,        45,      3133,        31,         7,     4.272,        39,    431960,    365015,    188905,    691136,       671,      8385
         1,   2974.54,         1,         4,         0,         0,    3860.8,      7473,   192.718,       503,    159.51,        35,     6.388,        35,   2474.39,        37,      2437,        27,         0,         0,   2394.25,        37,      2353,        27,         3,     8.532,        67,    431960,    365015,    188905,    691136,       671,      8385
         1,   3414.79,         1,         5,         0,         0,    5868.1,     11298,   272.235,       680,   144.441,        47,    10.093,        47,   5093.39,        49,      5037,        37,         0,         0,   6763.67,        49,      6710,        37,         5,     9.747,        58,    431960,    365015,    188905,    691136,       671,      8385
         1,   1556.74,         1,         3,         0,         0,    1485.6,      2851,    27.462,       104,   130.109,        15,     2.272,        15,   1166.65,        19,      1150,        10,         0,         0,   1168.96,        19,      1153,        10,         3,     3.501,        31,    431960,    365015,    188905,    691136,       671,      8385
         1,    1977.6,         1,         4,         0,         0,    2202.3,      3802,    59.015,       159,   136.415,        26,     5.723,        26,   2473.92,        28,      2443,        20,         0,         0,   2476.24,        28,      2436,        20,         3,     5.132,        33,    431960,    365015,    188905,    691136,       671,      8385
         1,   2587.62,         1,         5,         0,         0,    3007.5,      5069,   104.847,       294,   139.178,        31,     5.951,        31,    4674.3,        31,      4638,        25,         0,         0,   4807.85,        31,      4774,        25,         2,     3.875,        14,    431960,    365015,    188905,    691136,       671,      8385
         1,    3489.3,         2,         7,         0,         0,   5552.91,     10396,   303.763,       734,   172.683,       150,    34.158,       150,   9944.95,        94,      9835,        73,         0,         0,   10200.7,        94,     10090,        73,        11,     5.331,        71,    431960,    365015,    188905,    691136,       671,      8385
         1,   4598.01,         1,         6,         0,         0,     10747,     20538,   483.436,      1193,   147.128,        55,    11.775,        55,   4951.77,        57,      4892,        42,         0,         0,   5478.25,        57,      5416,        42,         6,    10.441,        76,    431960,    365015,    188905,    691136,       671,      8385
         1,   1506.95,         1,         2,         0,         0,   1648.81,      2931,    53.726,       154,   129.557,        12,     1.316,        12,   473.453,        14,       462,         5,         0,         0,   440.048,        14,       430,         5,         3,     6.168,        46,    431960,    365015,    188905,    691136,       671,      8385
         1,   1174.47,         1,         3,         0,         0,   922.598,      1673,    22.296,        76,   137.288,        14,     1.796,        14,   776.562,        16,       762,         8,         0,         0,   794.576,        16,       773,         8,         2,     8.548,        70,    431960,    365015,    188905,    691136,       671,      8385
         1,    1466.7,         1,         2,         0,         0,   1460.48,      2394,    68.082,       159,   126.116,         7,     0.591,         7,   437.236,        11,       429,         4,         0,         0,   436.398,        11,       429,         4,         1,     2.378,        23,    431960,    365015,    188905,    691136,       671,      8385
         1,   2046.86,         1,         3,         0,         0,    2004.7,      3638,     60.74,       155,   134.414,        17,     2.791,        17,    1371.6,        17,      1354,         9,         0,         0,   1388.47,        17,      1373,         9,         3,     9.164,        75,    431960,    365015,    188905,    691136,       671,      8385
         1,   2387.51,         1,         5,         0,         0,   2871.95,      5352,   112.119,       322,   144.158,        52,    11.181,        52,   4726.57,        58,      4666,        39,         0,         0,   4771.34,        58,      4708,        39,        12,     7.395,        53,    431960,    365015,    188905,    691136,       671,      8385
         1,   1564.88,         1,         3,         0,         0,    1367.3,      2382,      54.4,       164,   127.573,        12,     1.236,        12,   751.376,        14,       738,         6,         0,         0,   632.277,        14,       623,         6,         2,     8.692,        91,    431960,    365015,    188905,    691136,       671,      8385
         1,   2168.14,         1,         7,         0,         0,    1675.4,      3146,    51.603,       166,   137.326,        39,     7.213,        39,   2778.34,        41,      2728,        30,         0,         0,   2969.33,        41,      2913,        30,         4,    50.901,       321,    431960,    365015,    188905,    691136,       671,      8385
         1,   2437.18,         2,         4,         0,         0,   2821.58,      5070,   108.397,       280,   148.896,        79,    14.482,        79,   2358.75,        36,      2320,        24,         0,         0,   2423.88,        36,      2387,        24,         5,     6.238,        43,    431960,    365015,    188905,    691136,       671,      8385
         1,    887.25,         1,         3,         0,         0,   702.041,      1052,    24.616,        61,   131.563,        10,     0.874,        10,   480.554,        12,       471,         5,         0,         0,   477.642,        12,       470,         5,         1,     3.205,        39,    431960,    365015,    188905,    691136,       671,      8385
