         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   241.406,         1,         1,        11,         0,         0,   1171.92,      2316,    625.93,      1608,   114.664,       350,    97.569,       350,   2931.79,       352,      2637,       259,         0,         0,   2873.32,       352,      2593,       259,        80,    52.405,       361,   25748.6,     29972,     23223,     28503,         7,       157
         1,   36.2215,         1,         1,         2,         0,         0,    44.377,       106,    14.942,        56,     1.449,         6,     0.199,         6,    25.575,         8,        23,         2,         0,         0,    41.757,         8,        38,         2,         0,     1.002,        22,   25748.6,     29972,     23223,     28503,         7,       157
         1,         8,         1,         1,         2,         0,         0,    55.435,       103,     1.129,        10,     1.082,         5,     0.034,         5,    25.091,         8,        23,         2,         0,         0,    23.648,         8,        22,         2,         0,     0.159,        20,   25748.6,     29972,     23223,     28503,         7,       157
         1,   239.274,         1,         1,        11,         0,         0,   369.845,       750,   186.943,       465,   1716.64,      4032,   1379.11,      4032,   2697.86,       311,      2412,       235,         0,         0,   2612.91,       311,      2351,       235,        59,    13.101,        69,   25748.6,     29972,     23223,     28503,         7,       157
         1,   216.198,         1,         1,         8,         0,         0,   444.318,      1163,    300.58,       726,   223.959,       399,   182.796,       399,   3815.73,       401,      3437,       331,         0,         0,   4457.19,       401,      4036,       331,        42,    34.143,       142,   25748.6,     29972,     23223,     28503,         7,       157
         1,   316.727,         1,         1,        10,         0,         0,   721.016,      1163,   464.026,       730,   3150.39,      4166,   2605.72,      4166,   5007.22,       418,      4513,       344,         0,         0,   5385.93,       418,      4676,       344,        43,    62.205,       117,   25748.6,     29972,     23223,     28503,         7,       157
         1,   83.6301,         1,         1,         2,         0,         0,    82.123,        90,    46.689,        81,     6.384,        22,     4.423,        22,   164.108,        24,       147,        10,         0,         0,   160.578,        24,       143,        10,         8,    16.656,        70,   25748.6,     29972,     23223,     28503,         7,       157
         1,   231.637,         1,         1,        12,         0,         0,   478.981,       770,   288.578,       488,   2933.23,      5104,   2657.43,      5104,   4355.26,       334,      3968,       260,         0,         0,   4271.73,       334,      3882,       260,        59,    20.533,       100,   25748.6,     29972,     23223,     28503,         7,       157
         1,    19.799,         1,         1,         2,         0,         0,   128.507,       207,    18.157,        59,     2.234,         7,     0.899,         7,    39.526,         9,        35,         3,         0,         0,     36.71,         9,        33,         3,         1,     2.776,        17,   25748.6,     29972,     23223,     28503,         7,       157
         1,   185.383,         2,         2,         8,         0,         0,   372.304,      1234,   222.757,       588,    1040.3,      1931,   1214.71,      1931,   2362.82,       233,      2120,       157,         0,         0,    2227.3,       233,      2000,       157,        70,    35.761,       157,   25748.6,     29972,     23223,     28503,         7,       157
