         k,      dist, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   62247.9,         0,         0,     13470,     11470,    6064.9,      4700,   153.274,       187,   148.612,       187,   1648.61,       190,      1378,       159,         0,   417.965,       581,   32412.9,     14081,      6608,     24799,         3,       287
         1,   28907.1,         0,         0,      6439,      5627,   2612.96,      2367,    96.722,       130,    92.176,       130,   1044.16,       132,       875,       104,         0,    45.401,        91,   32412.9,     14081,      6608,     24799,         3,       287
         1,   24821.4,         0,         0,   3954.03,      3693,   1384.76,      1373,    67.347,        83,     62.97,        83,   686.426,        86,       575,        68,         0,    36.725,        75,   32412.9,     14081,      6608,     24799,         3,       287
         1,   59290.8,         0,         0,   11560.5,      9955,   5405.55,      4230,    304.24,       338,   318.387,       338,   2932.38,       341,      2438,       290,         0,   126.881,       197,   32412.9,     14081,      6608,     24799,         3,       287
         1,   50325.7,         0,         0,   9655.31,      8533,   4198.11,      3488,   390.774,       380,   385.218,       380,   3250.26,       381,      2696,       308,         0,    29.986,        70,   32412.9,     14081,      6608,     24799,         3,       287
         1,     15339,         0,         0,   1726.71,      1791,   479.665,       540,    29.675,        49,    25.196,        49,   389.265,        53,       330,        39,         0,     18.84,        75,   32412.9,     14081,      6608,     24799,         3,       287
         1,   20637.4,         0,         0,   3624.17,      3439,   1355.73,      1346,    94.145,       136,    88.196,       136,   1045.14,       138,       882,       106,         0,    53.656,       182,   32412.9,     14081,      6608,     24799,         3,       287
         1,   26161.6,         0,         0,   5467.02,      4907,   2117.09,      2018,    70.636,        96,    66.152,        96,   814.533,        98,       693,        77,         0,    23.979,        70,   32412.9,     14081,      6608,     24799,         3,       287
         1,   54283.3,         0,         0,   10782.1,      9247,   5073.29,      4029,   172.622,       162,   126.192,       162,   1338.97,       165,      1122,       136,         0,     87.88,       168,   32412.9,     14081,      6608,     24799,         3,       287
         1,     18922,         0,         0,   2900.78,      2915,   997.329,       967,    73.585,       114,    68.163,       114,   570.042,        72,       482,        51,         0,    27.516,        69,   32412.9,     14081,      6608,     24799,         3,       287
         1,   14820.7,         0,         0,   1480.84,      1572,   402.676,       466,    17.275,        31,    14.475,        31,   206.774,        33,       175,        21,         0,    20.143,        70,   32412.9,     14081,      6608,     24799,         3,       287
         1,   51616.8,         0,         0,     13872,     11101,   8074.49,      5818,   257.349,       295,   248.494,       295,   2576.41,       299,      2146,       239,         0,     13.79,        43,   32412.9,     14081,      6608,     24799,         3,       287
         1,   59014.5,         0,         0,   11884.2,     10080,   5352.85,      4267,   262.404,       304,   256.399,       304,   2570.19,       307,      2141,       257,         0,   419.281,       642,   32412.9,     14081,      6608,     24799,         3,       287
         1,   25858.8,         0,         0,   4562.46,      4465,   1616.28,      1558,    81.974,       104,    76.854,       104,   878.117,       106,       739,        84,         0,    25.623,        94,   32412.9,     14081,      6608,     24799,         3,       287
         1,   44110.4,         0,         0,   12598.2,     10083,   6905.42,      5304,   688.261,       717,   612.465,       717,   4223.25,       470,      3499,       392,         0,     53.54,       116,   32412.9,     14081,      6608,     24799,         3,       287
         1,     23465,         0,         0,   3091.32,      3004,   1201.11,      1141,     60.95,        80,    60.993,        80,   603.459,        81,       513,        58,         0,    20.012,        62,   32412.9,     14081,      6608,     24799,         3,       287
         1,   67119.4,         0,         0,   16879.1,     13289,   9793.53,      6834,   1538.37,      1508,   1701.26,      1508,   8877.07,       962,      7305,       801,         0,    26.032,        77,   32412.9,     14081,      6608,     24799,         3,       287
         1,   9029.11,         0,         0,    652.95,       641,   100.713,       143,    27.763,        28,    33.466,        28,     212.1,        30,       183,        19,         0,    13.131,        58,   32412.9,     14081,      6608,     24799,         3,       287
         1,   29826.5,         0,         0,   7132.62,      5985,   2923.39,      2611,    38.775,        59,    34.136,        59,   523.553,        63,       449,        47,         0,     25.73,        74,   32412.9,     14081,      6608,     24799,         3,       287
         1,   22029.6,         0,         0,   2905.37,      2740,   1041.28,       935,    57.264,        76,    52.175,        76,   671.329,        79,       570,        62,         0,    41.644,       114,   32412.9,     14081,      6608,     24799,         3,       287
         1,   57230.1,         0,         0,   12002.5,      9711,   5367.89,      4210,   140.506,       169,   141.582,       169,   1415.26,       172,      1186,       143,         0,   367.532,       558,   32412.9,     14081,      6608,     24799,         3,       287
         1,   63030.6,         0,         0,   12700.3,     11255,   5439.25,      4352,   709.736,       712,   700.258,       712,    6334.6,       713,      5240,       595,         0,    74.785,       186,   32412.9,     14081,      6608,     24799,         3,       287
         1,   60793.1,         0,         0,   12495.1,     10701,   5741.68,      4546,     312.7,       345,    304.38,       345,    3060.1,       348,      2528,       287,         0,    78.638,       141,   32412.9,     14081,      6608,     24799,         3,       287
         1,   32457.3,         0,         0,   7336.17,      6301,   3249.33,      2819,    71.943,        95,     67.22,        95,   806.836,        98,       685,        78,         0,     5.825,        29,   32412.9,     14081,      6608,     24799,         3,       287
         1,   63584.3,         0,         0,   14911.6,     12041,   8147.01,      5976,    586.31,       552,   604.933,       552,   4726.73,       554,      3921,       459,         0,   159.978,       340,   32412.9,     14081,      6608,     24799,         3,       287
         1,   59004.5,         0,         0,   19025.8,     11869,   9656.61,      6409,   1886.02,      1593,   1896.56,      1593,   7015.63,       757,      5763,       630,         0,    68.656,       155,   32412.9,     14081,      6608,     24799,         3,       287
         1,   30835.5,         0,         0,   6473.79,      5149,   2091.97,      1640,   114.256,       124,    127.82,       124,   1229.44,       126,      1040,        98,         0,    11.589,        33,   32412.9,     14081,      6608,     24799,         3,       287
         1,   47106.2,         0,         0,   20421.6,     10898,   11374.5,      6035,   1393.97,       867,   1039.72,       867,   3857.28,       373,      3135,       303,         0,    25.024,        37,   32412.9,     14081,      6608,     24799,         3,       287
         1,   27045.4,         0,         0,   4810.08,      3653,    1284.3,      1059,    87.122,        93,    89.946,        93,   865.208,        96,       724,        76,         0,    34.747,        61,   32412.9,     14081,      6608,     24799,         3,       287
         1,   16388.4,         0,         0,   2518.02,      1981,   504.526,       493,    23.722,        37,    18.838,        37,    324.84,        40,       273,        27,         0,     6.893,        29,   32412.9,     14081,      6608,     24799,         3,       287
         1,   28632.4,         0,         0,   8322.36,      5694,   3094.45,      2382,    37.666,        52,    32.155,        52,   406.768,        54,       344,        38,         0,    18.454,        53,   32412.9,     14081,      6608,     24799,         3,       287
         1,     14809,         0,         0,   1971.99,      1712,   450.892,       499,    35.467,        59,    31.732,        59,   490.595,        61,       420,        41,         0,    27.643,        97,   32412.9,     14081,      6608,     24799,         3,       287
         1,   36964.2,         0,         0,   11496.9,      8218,   5649.19,      4065,   100.971,       117,   104.623,       117,   1019.03,       119,       830,        92,         0,     15.78,        49,   32412.9,     14081,      6608,     24799,         3,       287
         1,     19511,         0,         0,   3636.18,      3176,   1007.82,      1030,    74.097,       114,    68.416,       114,   526.328,        69,       441,        48,         0,    26.627,        64,   32412.9,     14081,      6608,     24799,         3,       287
         1,   19330.1,         0,         0,   2368.68,      2259,   710.477,       750,     40.69,        61,    37.294,        61,   525.525,        64,       446,        50,         0,    19.316,        83,   32412.9,     14081,      6608,     24799,         3,       287
         1,   65402.1,         0,         0,   15858.2,     12245,   8340.77,      5821,   428.631,       452,    415.39,       452,   4050.52,       454,      3349,       378,         0,       2.9,         9,   32412.9,     14081,      6608,     24799,         3,       287
         1,   10083.5,         0,         0,   851.405,       919,   154.661,       205,    19.528,        27,    16.647,        27,   191.744,        29,       162,        18,         0,    25.126,        48,   32412.9,     14081,      6608,     24799,         3,       287
         1,   21102.9,         0,         0,   2566.71,      2392,   646.898,       636,    27.811,        44,    23.903,        44,   327.192,        47,       276,        31,         0,     2.467,        15,   32412.9,     14081,      6608,     24799,         3,       287
         1,   2477.57,         0,         0,   165.439,       227,    13.819,        28,     9.651,        17,      6.73,        17,   133.752,        19,       113,        10,         0,     4.052,        25,   32412.9,     14081,      6608,     24799,         3,       287
         1,   24112.3,         0,         0,   4604.24,      4104,   1850.33,      1494,    30.755,        47,    26.183,        47,   351.865,        49,       296,        33,         0,    17.097,        54,   32412.9,     14081,      6608,     24799,         3,       287
         1,   47277.3,         0,         0,   13940.5,     11142,   8668.56,      5804,   327.405,       288,   313.271,       288,   3433.35,       292,      2843,       234,         0,    11.916,        31,   32412.9,     14081,      6608,     24799,         3,       287
         1,   28046.4,         0,         0,   7576.96,      5396,   3100.34,      2398,   292.305,       320,   280.075,       320,   2302.82,       227,      1959,       184,         0,    18.173,        67,   32412.9,     14081,      6608,     24799,         3,       287
         1,   10861.5,         0,         0,   1084.87,      1025,   206.744,       225,    10.666,        16,     7.799,        16,   112.533,        17,        95,         9,         0,    15.499,        52,   32412.9,     14081,      6608,     24799,         3,       287
