         k,      dist,      rank,  max_rank,      vnum,   tot_hit, cost_edbt,  gen_edbt,   cost_ki,    gen_ki,  cost_ffp,   gen_ffp,rtree_cost, cost_poly,  gen_poly, sort_cost,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,   cost_fc,    gen_fc,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys,  vertices,         x,         y
         1,   915.769,         1,         1,         2,         1,         0,         0,     8.581,        29,      0.04,         4,         0,         0,         0,         0,    70.358,         7,        69,         2,         0,         0,     0.105,        12,     2.491,         7,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     89649,     38546
         1,   3615.12,         1,         1,         5,         1,         0,         0,   233.852,       691,    10.271,        53,         0,         0,         0,         0,   2390.98,        54,      2349,        41,         6,         0,    20.931,       196,    14.531,        26,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     17216,     43426
         1,    2351.1,         1,         1,         6,         1,         0,         0,   110.592,       331,     5.716,        32,         0,         0,         0,         0,   908.357,        34,       888,        24,         5,         0,     1.609,        22,    14.707,        24,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     80262,     26283
         1,   2974.68,         1,         1,         8,         1,         0,         0,   136.387,       452,     9.157,        46,         0,         0,         0,         0,   1419.54,        47,      1390,        32,         9,         0,     4.639,        40,    20.376,        32,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     86754,     64740
         1,   5837.45,         1,         1,         5,         2,         0,         0,    964.87,      2541,    58.113,       218,         0,         0,         0,         0,   5400.56,       185,      5262,       145,        29,         0,    19.905,       184,     47.23,        47,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     84072,     17586
         1,   3267.14,         1,         1,         6,         1,         0,         0,   233.246,       661,     6.469,        42,         0,         0,         0,         0,   1316.66,        44,      1288,        29,         6,         0,     8.644,       103,    18.019,        30,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     55308,     68217
         1,   4536.75,         1,         1,         5,         1,         0,         0,     519.5,      1445,     16.67,        75,         0,         0,         0,         0,   2466.28,        77,      2410,        56,        12,         0,    23.527,       232,    22.069,        36,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     23583,     58020
         1,   6463.96,         2,         2,         7,         2,         0,         0,   1104.08,      3073,    68.451,       304,         0,         0,         0,         0,   4771.34,       134,      4675,       103,        16,         0,     1.794,        20,    44.445,        58,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     45576,     84338
         1,   4995.45,         1,         1,        10,         1,         0,         0,   616.699,      1316,    33.438,       115,         0,         0,         0,         0,   4407.99,       118,      4308,        94,        14,         0,     1.273,        22,    32.836,        44,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     14257,     97165
         1,   3398.01,         1,         1,         4,         1,         0,         0,   296.634,       712,      4.78,        27,         0,         0,         0,         0,   965.979,        30,       948,        20,         4,         0,     1.619,        24,    17.756,        28,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     80614,     63008
         1,   5554.08,         1,         1,        10,         1,         0,         0,   825.253,      2212,    17.544,        78,         0,         0,         0,         0,   1965.48,        82,      1904,        62,        11,         0,     2.739,        25,    28.702,        42,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     45304,     30345
         1,   4564.63,         1,         1,         7,         1,         0,         0,   411.525,      1244,    12.093,        67,         0,         0,         0,         0,   2697.47,        69,      2640,        52,         7,         0,     8.241,        94,    20.185,        34,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     71040,     60765
         1,    6127.7,         1,         1,        13,         1,         0,         0,   883.879,      2625,    56.467,       221,         0,         0,         0,         0,    5757.6,       229,      5592,       184,        36,         0,    11.807,       106,    50.346,        55,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     43267,     27880
         1,   8696.84,         1,         1,        21,         1,         0,         0,   2480.39,      5803,    49.025,       179,         0,         0,         0,         0,   6859.01,       183,      6714,       148,        20,         0,     5.949,        61,    53.242,        70,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,      8091,     51565
         1,   7779.77,         1,         1,        14,         2,         0,         0,   1544.15,      4400,   101.568,       462,         0,         0,         0,         0,   11583.2,       306,     11349,       251,        35,         0,    11.565,       121,    44.944,        56,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     69897,     57517
         1,   4961.12,         1,         1,         3,         1,         0,         0,   544.128,      1604,     7.375,        38,         0,         0,         0,         0,   1169.03,        42,      1140,        28,         7,         0,     13.75,       140,    12.085,        22,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     35942,     53940
         1,   8709.57,         1,         1,        11,         1,         0,         0,   2223.85,      6044,     54.91,       238,         0,         0,         0,         0,   6008.73,       240,      5834,       196,        31,         0,     1.019,         9,    52.961,        65,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     24529,     33826
         1,      3029,         1,         1,         6,         1,         0,         0,    185.75,       497,     8.252,        37,         0,         0,         0,         0,   811.846,        41,       786,        28,         6,         0,     2.983,        43,    20.579,        33,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,      8630,      6685
         1,   9339.92,         1,         1,         6,         2,         0,         0,   1827.58,      4980,   148.344,       442,         0,         0,         0,         0,   7883.42,       264,      7658,       210,        42,         0,     28.01,       159,    43.195,        55,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     96192,     23387
         1,   1804.06,         1,         1,         4,         1,         0,         0,     47.38,       149,     4.847,        27,         0,         0,         0,         0,   736.603,        29,       719,        19,         3,         0,      6.09,        63,     7.802,        15,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     24650,     48582
         1,   2187.26,         1,         1,         4,         1,         0,         0,    86.213,       267,     3.686,        21,         0,         0,         0,         0,   624.285,        21,       610,        13,         2,         0,     7.959,        76,    10.048,        17,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     83665,     60969
