         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   45.3394,         2,         2,         7,         0,         0,   133.317,       138,    79.255,       105,   112.555,       137,    97.713,       137,   276.558,        37,       226,        28,         0,         0,   260.868,        37,       217,        28,         5,     1.131,         7,   17841.6,      9773,      8391,      9446,         3,        47
         1,   124.745,         2,         2,         7,         0,         0,   360.491,       557,   283.316,       512,    859.03,      1576,   833.182,      1576,   1639.28,       211,      1412,       167,         0,         0,   1607.27,       211,      1357,       167,        36,    26.173,       162,   17841.6,      9773,      8391,      9446,         3,        47
         1,    140.57,         2,         2,        11,         0,         0,   598.358,       957,   476.841,       803,   333.834,       445,   307.889,       445,   1751.32,       207,      1479,       179,         0,         0,   1712.44,       207,      1445,       179,        21,    10.694,        49,   17841.6,      9773,      8391,      9446,         3,        47
         1,   358.925,         2,         2,        23,         0,         0,   973.642,      1563,   874.328,      1434,    1354.7,      1957,   1315.51,      1957,   5118.84,       614,      4379,       542,         0,         0,   5041.91,       614,      4303,       542,        48,     1.561,        22,   17841.6,      9773,      8391,      9446,         3,        47
         1,   37.4862,         1,         1,         3,         0,         0,    42.791,        67,     26.24,        51,     7.998,        23,     6.471,        23,   123.838,        25,       103,        13,         0,         0,    115.96,        25,        99,        13,         8,    15.253,        43,   17841.6,      9773,      8391,      9446,         3,        47
         1,   277.175,         3,         3,        19,         0,         0,   1282.84,      1725,    1231.4,      1654,   4350.96,      3043,   2271.19,      3043,   9615.83,      1057,      7876,       938,         0,         0,   11711.2,      1057,      9100,       938,        81,    13.824,        31,   17841.6,      9773,      8391,      9446,         3,        47
         1,   173.169,         3,         3,        13,         0,         0,   525.688,       564,   434.052,       521,   957.634,      1722,   918.201,      1722,   3001.85,       329,      2550,       260,         0,         0,   2350.03,       329,      2023,       260,        52,     2.736,        24,   17841.6,      9773,      8391,      9446,         3,        47
         1,   69.4812,         2,         2,         9,         0,         0,   178.552,       224,   118.856,       170,   236.282,       211,   209.331,       211,   745.618,        93,       631,        77,         0,         0,   738.173,        93,       622,        77,         8,     11.06,        46,   17841.6,      9773,      8391,      9446,         3,        47
         1,   319.766,         2,         2,        18,         0,         0,    968.55,      1552,   884.621,      1420,   1437.38,      1921,   1279.77,      1921,   4900.93,       606,      4193,       529,         0,         0,   4948.47,       606,      4188,       529,        56,    16.895,        67,   17841.6,      9773,      8391,      9446,         3,        47
         1,   241.368,         2,         2,        15,         0,         0,   1016.13,      1666,     992.4,      1589,   1457.54,      1881,   1298.64,      1881,   5560.28,       697,      4754,       606,         0,         0,   6154.99,       697,      5066,       606,        65,     3.515,        25,   17841.6,      9773,      8391,      9446,         3,        47
         1,   131.941,         3,         3,         8,         0,         0,   299.875,       544,   270.841,       498,    858.58,      1550,   1023.03,      1550,   2492.12,       315,      2082,       256,         0,         0,   2384.64,       315,      2054,       256,        44,     26.58,       101,   17841.6,      9773,      8391,      9446,         3,        47
         1,   297.462,         2,         2,        21,         0,         0,   1628.31,      1554,    1440.3,      1468,   1766.55,      2592,   1620.64,      2592,   5420.67,       588,      4298,       507,         0,         0,   5107.81,       588,      4118,       507,        57,    43.367,       231,   17841.6,      9773,      8391,      9446,         3,        47
         1,   61.3844,         2,         2,         8,         0,         0,   142.876,       206,   108.503,       157,   148.353,       191,    132.31,       191,   605.739,        79,       508,        62,         0,         0,   598.436,        79,       501,        62,        11,     7.736,        28,   17841.6,      9773,      8391,      9446,         3,        47
