K,dist,cost_ki,cost_hi,h_cost,vnum,gen_ki,push_ki,pop_ki,gen_hi,push_hi,pop_hi,density
2,27854.5,380.534,680.767,595,10,59,10,1110,12,22,91,0.0177936
2,42186.2,1480.77,4480.73,3863,4,133,24,4178,25,31,578,0.0177936
2,66633,1480.77,4480.73,3863,12,133,24,4178,25,31,578,0.0177936
2,28616.6,1220.07,1923.49,1710,13,117,19,3300,14,48,227,0.0177936
2,42496.3,1220.07,1923.49,1710,6,117,19,3300,14,48,227,0.0177936
2,26180.1,746.616,2328.55,2060,7,89,13,2220,17,59,289,0.0177936
2,40846.4,746.616,2328.55,2060,10,89,13,2220,17,59,289,0.0177936
2,43001.2,1474.4,4099.41,3542,3,136,25,4057,26,22,538,0.0177936
2,64892.7,1474.4,4099.41,3542,11,136,25,4057,26,22,538,0.0177936
2,22531.8,863.636,1516.6,1343,11,110,18,2539,14,31,149,0.0177936
2,37100,863.636,1516.6,1343,7,110,18,2539,14,31,149,0.0177936
2,11089.4,1070.65,684.394,613,4,107,16,2310,11,20,66,0.0177936
2,32974.8,1070.65,684.394,613,10,107,16,2310,11,20,66,0.0177936
2,21635.6,280.886,953.061,851,5,39,13,629,8,17,84,0.0177936
2,22771.5,280.886,953.061,851,5,39,13,629,8,17,84,0.0177936
2,27959.1,1488.08,2106.17,1856,7,131,18,3363,17,45,227,0.0177936
2,42103.3,1488.08,2106.17,1856,6,131,18,3363,17,45,227,0.0177936
2,27056.9,1447.04,1537.4,1337,5,134,26,3857,15,27,177,0.0177936
2,49014.6,1447.04,1537.4,1337,7,134,26,3857,15,27,177,0.0177936
2,10438.2,695.742,1614.82,1415,5,87,13,2068,21,16,203,0.0177936
2,36156.8,695.742,1614.82,1415,15,87,13,2068,21,16,203,0.0177936
2,11012.9,667.235,461.414,404,7,93,11,1912,13,19,62,0.0177936
2,31195.9,667.235,461.414,404,7,93,11,1912,13,19,62,0.0177936
2,29677.5,1222.78,2239.13,2006,13,118,17,3390,14,69,247,0.0177936
2,38826.2,1222.78,2239.13,2006,4,118,17,3390,14,69,247,0.0177936
2,24193.3,511.222,1631.74,1446,7,60,12,1525,14,44,201,0.0177936
2,34877.6,511.222,1631.74,1446,12,60,12,1525,14,44,201,0.0177936
2,14039.3,460.267,570.408,499,5,79,14,1346,12,19,66,0.0177936
2,27906.2,460.267,570.408,499,6,79,14,1346,12,19,66,0.0177936
2,5766.77,1041.06,621.481,539,2,130,12,2857,14,13,79,0.0177936
2,34944.1,1041.06,621.481,539,14,130,12,2857,14,13,79,0.0177936
2,21069.2,1564.56,3413.62,2986,7,152,34,4035,27,34,432,0.0177936
2,45617.2,1564.56,3413.62,2986,8,152,34,4035,27,34,432,0.0177936
2,1109.43,379.55,238.794,204,2,74,7,1034,10,7,30,0.0177936
2,22345.1,379.55,238.794,204,4,74,7,1034,10,7,30,0.0177936
2,24040,1439.1,2623.07,2302,5,144,22,4136,21,27,315,0.0177936
2,53993.7,1439.1,2623.07,2302,4,144,22,4136,21,27,315,0.0177936
2,27213.7,1284.64,1717.64,1507,8,130,18,3364,15,40,221,0.0177936
2,41827.2,1284.64,1717.64,1507,7,130,18,3364,15,40,221,0.0177936
2,18134.3,618.752,951.691,835,5,84,15,1809,17,27,106,0.0177936
2,32281.7,618.752,951.691,835,4,84,15,1809,17,27,106,0.0177936
2,19186.7,201.752,428.348,381,4,36,11,559,10,13,48,0.0177936
2,19835.6,201.752,428.348,381,2,36,11,559,10,13,48,0.0177936
2,24463.6,853.182,2284.63,1990,8,113,21,2451,24,36,288,0.0177936
2,41835.7,853.182,2284.63,1990,11,113,21,2451,24,36,288,0.0177936
2,32240.8,916.932,1154.81,1003,9,115,21,2643,18,33,147,0.0177936
2,42601.9,916.932,1154.81,1003,4,115,21,2643,18,33,147,0.0177936
2,20862.8,1229.62,1504.34,1325,5,133,19,3316,16,43,194,0.0177936
2,40022.4,1229.62,1504.34,1325,9,133,19,3316,16,43,194,0.0177936
2,22952.9,679.658,2122.88,1888,14,85,14,2035,20,54,257,0.0177936
2,37439.5,679.658,2122.88,1888,10,85,14,2035,20,54,257,0.0177936
2,6686.38,1211.41,549.2,472,2,133,15,2937,14,15,78,0.0177936
2,35181,1211.41,549.2,472,11,133,15,2937,14,15,78,0.0177936
2,1234.09,380.757,423.816,360,2,65,10,1083,12,8,40,0.0177936
2,22455.1,380.757,423.816,360,4,65,10,1083,12,8,40,0.0177936
2,2784.42,349.603,429.632,375,2,69,11,1009,12,13,54,0.0177936
2,21414.9,349.603,429.632,375,7,69,11,1009,12,13,54,0.0177936
2,23927.6,683.633,2075.5,1828,8,89,13,2014,16,36,261,0.0177936
2,44106.4,683.633,2075.5,1828,12,89,13,2014,16,36,261,0.0177936
2,12477.8,438.598,781.504,692,4,79,12,1251,14,17,98,0.0177936
2,26240.1,438.598,781.504,692,8,79,12,1251,14,17,98,0.0177936
2,26657.7,437.788,1188.76,1057,4,66,16,1329,12,33,144,0.0177936
2,30277.2,437.788,1188.76,1057,5,66,16,1329,12,33,144,0.0177936
2,18526.3,190.297,440.569,386,4,31,8,553,9,12,51,0.0177936
2,19708.7,190.297,440.569,386,3,31,8,553,9,12,51,0.0177936
2,12032.1,925.04,559.531,493,4,114,15,2579,10,20,66,0.0177936
2,32564,925.04,559.531,493,4,114,15,2579,10,20,66,0.0177936
2,37653.6,1273.63,3248.41,2846,5,130,26,3557,22,39,401,0.0177936
2,51315,1273.63,3248.41,2846,8,130,26,3557,22,39,401,0.0177936
2,23832.1,596.879,882.467,796,8,82,10,1695,15,41,89,0.0177936
2,33775.5,596.879,882.467,796,2,82,10,1695,15,41,89,0.0177936
2,9306.4,398.866,337.684,290,3,70,13,1157,10,13,41,0.0177936
2,23232.7,398.866,337.684,290,6,70,13,1157,10,13,41,0.0177936
2,29836.1,766.289,2348.68,2088,8,89,14,2223,16,62,269,0.0177936
2,43495.5,766.289,2348.68,2088,12,89,14,2223,16,62,269,0.0177936
2,34628.3,490.033,2990.88,2693,13,73,16,1504,17,36,201,0.0177936
2,36332.9,490.033,2990.88,2693,5,73,16,1504,17,36,201,0.0177936
2,10869.2,393.746,1427.73,1286,4,34,10,697,13,16,112,0.0177936
2,22285.6,393.746,1427.73,1286,9,34,10,697,13,16,112,0.0177936
2,20731.5,565.766,1162.58,1041,4,59,10,1139,11,24,103,0.0177936
2,30200.7,565.766,1162.58,1041,8,59,10,1139,11,24,103,0.0177936
2,26255.5,1636.67,1850.39,1624,7,142,18,3663,16,35,202,0.0177936
2,43125.7,1636.67,1850.39,1624,8,142,18,3663,16,35,202,0.0177936
2,31341.6,1181.33,2581.78,2284,7,142,30,2975,26,47,273,0.0177936
2,33050.9,1181.33,2581.78,2284,10,142,30,2975,26,47,273,0.0177936
2,18836.9,588.111,1608.72,1408,7,77,14,1668,12,31,196,0.0177936
2,27164.7,588.111,1608.72,1408,18,77,14,1668,12,31,196,0.0177936
2,24834.9,659.078,2414.83,2204,5,65,13,1273,14,16,140,0.0177936
2,26377.6,659.078,2414.83,2204,8,65,13,1273,14,16,140,0.0177936
2,11380.7,586.472,1899.43,1714,5,37,10,752,13,18,137,0.0177936
2,24795.5,586.472,1899.43,1714,17,37,10,752,13,18,137,0.0177936
2,22892.7,2450.49,1536.49,1361,4,173,25,4432,15,22,142,0.0177936
2,42462.9,2450.49,1536.49,1361,4,173,25,4432,15,22,142,0.0177936
2,27853.8,1700.5,3288.59,2942,10,138,33,3709,16,83,323,0.0177936
2,38618.9,1700.5,3288.59,2942,7,138,33,3709,16,83,323,0.0177936
2,23533.1,743.725,904.424,797,3,67,12,1538,11,15,88,0.0177936
2,35013.8,743.725,904.424,797,6,67,12,1538,11,15,88,0.0177936
2,17025.4,186.696,642.045,565,5,41,13,552,11,25,71,0.0177936
2,19055.9,186.696,642.045,565,4,41,13,552,11,25,71,0.0177936
2,34321.9,1475.93,3279.89,2833,2,132,24,4182,20,27,406,0.0177936
2,61239.2,1475.93,3279.89,2833,10,132,24,4182,20,27,406,0.0177936
2,28245,1410.16,2837.84,2489,5,152,31,3913,24,37,357,0.0177936
2,37841.8,1410.16,2837.84,2489,11,152,31,3913,24,37,357,0.0177936
2,18479.7,682.086,1433.79,1245,4,80,16,1964,16,25,178,0.0177936
2,31463.9,682.086,1433.79,1245,11,80,16,1964,16,25,178,0.0177936
2,22819.7,511.187,898.59,787,7,79,20,1194,11,35,107,0.0177936
2,28648.1,511.187,898.59,787,3,79,20,1194,11,35,107,0.0177936
2,15768,1447.25,883.359,769,4,174,25,3862,14,27,108,0.0177936
2,38770.4,1447.25,883.359,769,5,174,25,3862,14,27,108,0.0177936
2,18495.7,219.883,482.518,433,4,36,9,627,9,15,53,0.0177936
2,20789.5,219.883,482.518,433,2,36,9,627,9,15,53,0.0177936
2,20243.6,606.529,1076.64,951,7,85,13,1749,15,23,126,0.0177936
2,30637.8,606.529,1076.64,951,9,85,13,1749,15,23,126,0.0177936
2,12615.1,311.929,723.016,639,7,49,16,897,12,26,79,0.0177936
2,21409,311.929,723.016,639,6,49,16,897,12,26,79,0.0177936
2,35226.3,532.307,1258.4,1102,3,71,15,1612,17,17,152,0.0177936
2,42755.8,532.307,1258.4,1102,9,71,15,1612,17,17,152,0.0177936
2,14587.5,703.688,1420.95,1250,3,73,9,2074,13,18,176,0.0177936
2,41105.1,703.688,1420.95,1250,6,73,9,2074,13,18,176,0.0177936
2,19703.2,189.168,641.259,564,4,36,9,553,9,15,73,0.0177936
2,20587.7,189.168,641.259,564,5,36,9,553,9,15,73,0.0177936
2,36673.6,1085.92,2562.62,2248,11,109,20,3071,24,50,287,0.0177936
2,39604.6,1085.92,2562.62,2248,8,109,20,3071,24,50,287,0.0177936
2,13256,402.445,912.926,816,7,52,17,906,15,30,96,0.0177936
2,21854.3,402.445,912.926,816,9,52,17,906,15,30,96,0.0177936
2,9223.62,1090.36,491.419,415,4,125,15,2937,10,14,50,0.0177936
2,35105.3,1090.36,491.419,415,4,125,15,2937,10,14,50,0.0177936
2,24649.2,859.992,1108.34,973,5,113,13,2444,16,36,129,0.0177936
2,45988,859.992,1108.34,973,6,113,13,2444,16,36,129,0.0177936
2,19524.9,418.31,778.741,687,6,61,10,1010,11,29,94,0.0177936
2,26471.8,418.31,778.741,687,8,61,10,1010,11,29,94,0.0177936
2,23141,627.693,1014.59,886,8,83,11,1860,16,25,124,0.0177936
2,33548.1,627.693,1014.59,886,12,83,11,1860,16,25,124,0.0177936
2,21465.6,664.325,1001.76,887,7,85,12,1949,17,28,117,0.0177936
2,33015.3,664.325,1001.76,887,11,85,12,1949,17,28,117,0.0177936
2,25841.2,952.199,2395.15,2090,7,126,21,2745,23,33,316,0.0177936
2,45685.9,952.199,2395.15,2090,15,126,21,2745,23,33,316,0.0177936
2,18249.3,680.06,1651.27,1463,7,90,13,1969,15,43,202,0.0177936
2,38668,680.06,1651.27,1463,10,90,13,1969,15,43,202,0.0177936
2,17650.7,639.255,1550.42,1364,6,78,15,1792,13,27,185,0.0177936
2,27613.8,639.255,1550.42,1364,12,78,15,1792,13,27,185,0.0177936
2,17497.3,1749.72,672.162,577,4,184,28,4523,13,18,87,0.0177936
2,42637.8,1749.72,672.162,577,4,184,28,4523,13,18,87,0.0177936
2,18957.6,601.2,980.01,864,6,89,14,1737,18,28,117,0.0177936
2,29814.9,601.2,980.01,864,7,89,14,1737,18,28,117,0.0177936
2,16272.8,399.482,706.822,619,4,60,9,1075,11,20,90,0.0177936
2,26962.2,399.482,706.822,619,9,60,9,1075,11,20,90,0.0177936
2,16693.8,194.066,897.619,804,4,31,12,547,9,19,104,0.0177936
2,20579.2,194.066,897.619,804,5,31,12,547,9,19,104,0.0177936
2,17147.1,751.216,1541.45,1356,7,78,15,1850,13,28,185,0.0177936
2,27820.6,751.216,1541.45,1356,16,78,15,1850,13,28,185,0.0177936
2,35222.1,1483.98,3109.47,2690,3,131,24,4061,21,25,403,0.0177936
2,59565.4,1483.98,3109.47,2690,10,131,24,4061,21,25,403,0.0177936
2,10073.5,272.468,529.316,470,3,62,15,774,9,13,65,0.0177936
2,20193.8,272.468,529.316,470,10,62,15,774,9,13,65,0.0177936
2,9746.6,470.205,539.132,474,3,77,15,1294,9,15,63,0.0177936
2,25559.8,470.205,539.132,474,8,77,15,1294,9,15,63,0.0177936
2,43350.8,1459.24,4054.76,3505,5,137,24,3877,30,47,501,0.0177936
2,60025.9,1459.24,4054.76,3505,15,137,24,3877,30,47,501,0.0177936
2,6714.99,278.166,1291.38,1148,6,41,10,800,18,17,151,0.0177936
2,28535.6,278.166,1291.38,1148,10,41,10,800,18,17,151,0.0177936
2,6958.82,431.318,356.181,314,4,72,13,1233,10,11,44,0.0177936
2,24343.6,431.318,356.181,314,7,72,13,1233,10,11,44,0.0177936
2,31108.8,1467.02,4027.77,3561,7,154,24,4082,24,78,496,0.0177936
2,44913.7,1467.02,4027.77,3561,15,154,24,4082,24,78,496,0.0177936
2,10094.7,727.09,1383.36,1225,2,76,12,2140,18,14,171,0.0177936
2,38676.9,727.09,1383.36,1225,13,76,12,2140,18,14,171,0.0177936
2,17712.6,604.502,1637.37,1452,7,80,16,1740,14,33,187,0.0177936
2,27106.7,604.502,1637.37,1452,16,80,16,1740,14,33,187,0.0177936
2,26941.5,582.815,1760.98,1553,9,68,14,1725,15,48,209,0.0177936
2,38253,582.815,1760.98,1553,11,68,14,1725,15,48,209,0.0177936
2,16765.9,639.973,843.788,751,3,68,9,1886,10,16,110,0.0177936
2,38695.6,639.973,843.788,751,5,68,9,1886,10,16,110,0.0177936
2,13792.5,1032.88,2148.73,1900,6,132,24,2896,19,22,259,0.0177936
2,38057.2,1032.88,2148.73,1900,10,132,24,2896,19,22,259,0.0177936
2,16273.5,838.74,912.885,802,8,113,16,2290,18,25,112,0.0177936
2,36456.5,838.74,912.885,802,8,113,16,2290,18,25,112,0.0177936
2,33532.6,464.392,1541.36,1370,5,75,20,1420,20,29,185,0.0177936
2,35189.8,464.392,1541.36,1370,8,75,20,1420,20,29,185,0.0177936
2,30589.7,461.484,1329.33,1175,5,71,20,1384,16,22,161,0.0177936
2,32336.5,461.484,1329.33,1175,8,71,20,1384,16,22,161,0.0177936
2,26976.9,1417.69,1711.1,1486,6,134,23,4029,15,30,197,0.0177936
2,53333.3,1417.69,1711.1,1486,7,134,23,4029,15,30,197,0.0177936
2,38947.4,471.146,1584.35,1387,14,72,15,1439,20,7,152,0.0177936
2,39023.7,471.146,1584.35,1387,3,72,15,1439,20,7,152,0.0177936
2,6778.27,374.097,305.566,262,3,69,14,1086,10,13,36,0.0177936
2,22694.1,374.097,305.566,262,5,69,14,1086,10,13,36,0.0177936
2,18665.8,816.873,2347.69,2053,6,94,15,2233,28,45,287,0.0177936
2,36176.2,816.873,2347.69,2053,6,94,15,2233,28,45,287,0.0177936
2,16914.9,1450.85,3424.37,3005,5,157,34,4065,22,17,457,0.0177936
2,49237.7,1450.85,3424.37,3005,15,157,34,4065,22,17,457,0.0177936
2,19888.9,487.238,1218.72,1076,5,79,15,1409,14,36,151,0.0177936
2,32927.6,487.238,1218.72,1076,9,79,15,1409,14,36,151,0.0177936
2,17718.5,362.847,548.151,479,2,71,22,913,10,16,77,0.0177936
2,21591.3,362.847,548.151,479,8,71,22,913,10,16,77,0.0177936
2,22283.6,491.816,1434.88,1264,5,87,17,1455,19,40,161,0.0177936
2,35123.9,491.816,1434.88,1264,11,87,17,1455,19,40,161,0.0177936
2,30949.5,494.29,1435.33,1260,11,83,9,1458,13,34,175,0.0177936
2,32804.4,494.29,1435.33,1260,16,83,9,1458,13,34,175,0.0177936
2,24282.5,684.256,2585.05,2292,10,98,18,2018,21,51,332,0.0177936
2,42949.4,684.256,2585.05,2292,14,98,18,2018,21,51,332,0.0177936
2,15679.6,1627.68,789.134,670,4,181,27,4373,12,16,110,0.0177936
2,41526.7,1627.68,789.134,670,4,181,27,4373,12,16,110,0.0177936
2,19966.2,514.624,963.062,854,7,73,13,1522,12,27,123,0.0177936
2,31011.5,514.624,963.062,854,5,73,13,1522,12,27,123,0.0177936
2,24588.1,667.822,2108.12,1857,9,75,15,1827,16,53,252,0.0177936
2,37012.3,667.822,2108.12,1857,10,75,15,1827,16,53,252,0.0177936
2,25587.2,1738.19,3331.96,2943,4,178,33,4581,18,38,407,0.0177936
2,45281.4,1738.19,3331.96,2943,16,178,33,4581,18,38,407,0.0177936
2,24923.4,659.951,2122.24,1875,9,78,15,1918,15,51,265,0.0177936
2,37552.4,659.951,2122.24,1875,10,78,15,1918,15,51,265,0.0177936
2,3449.63,661.843,504.015,443,3,82,12,1876,15,13,57,0.0177936
2,29004.4,661.843,504.015,443,6,82,12,1876,15,13,57,0.0177936
2,37245.6,1569.05,3671.97,3185,5,137,25,4304,22,43,469,0.0177936
2,64684.1,1569.05,3671.97,3185,9,137,25,4304,22,43,469,0.0177936
2,23097.5,453.066,1052.44,935,8,61,14,1214,13,34,129,0.0177936
2,25648.6,453.066,1052.44,935,4,61,14,1214,13,34,129,0.0177936
2,16636.9,189.992,539.571,476,5,48,19,538,10,16,67,0.0177936
2,17202.6,189.992,539.571,476,6,48,19,538,10,16,67,0.0177936
2,42364.6,1439.6,4105.08,3536,3,134,25,4066,26,18,524,0.0177936
2,64829.1,1439.6,4105.08,3536,11,134,25,4066,26,18,524,0.0177936
2,10419.8,1214.05,539.395,475,3,152,19,3275,11,15,72,0.0177936
2,37101.4,1214.05,539.395,475,12,152,19,3275,11,15,72,0.0177936
2,37107.9,1448.77,3316.2,2876,7,132,26,3947,21,39,435,0.0177936
2,57776.5,1448.77,3316.2,2876,9,132,26,3947,21,39,435,0.0177936
2,25514.3,603.349,1607.9,1420,9,66,14,1658,15,44,198,0.0177936
2,36623.3,603.349,1607.9,1420,11,66,14,1658,15,44,198,0.0177936
2,15058.6,617.378,1046.38,933,7,90,16,1761,18,23,126,0.0177936
2,33725.5,617.378,1046.38,933,11,90,16,1761,18,23,126,0.0177936
2,21567.1,541.542,1011.09,891,7,80,14,1603,17,24,124,0.0177936
2,29731.3,541.542,1011.09,891,10,80,14,1603,17,24,124,0.0177936
2,28853.9,1395.9,2335.5,2059,3,130,22,3603,16,28,294,0.0177936
2,37946.9,1395.9,2335.5,2059,12,130,22,3603,16,28,294,0.0177936
2,26712.8,470.553,1114.54,981,4,67,16,1337,11,32,123,0.0177936
2,31014.6,470.553,1114.54,981,5,67,16,1337,11,32,123,0.0177936
2,41821.7,1092.16,3558.17,3122,11,108,18,3098,26,15,374,0.0177936
2,41948.1,1092.16,3558.17,3122,11,108,18,3098,26,15,374,0.0177936
2,9039.37,1231.33,2971.72,2618,3,136,22,3570,24,14,384,0.0177936
2,47713,1231.33,2971.72,2618,13,136,22,3570,24,14,384,0.0177936
2,21724.1,916.634,859.114,757,5,122,19,2509,17,31,107,0.0177936
2,41928.5,916.634,859.114,757,5,122,19,2509,17,31,107,0.0177936
2,37389.5,1481.8,3474.7,3031,7,131,25,3933,21,39,435,0.0177936
2,57956,1481.8,3474.7,3031,8,131,25,3933,21,39,435,0.0177936
2,22348,365.514,560.113,490,4,60,10,1063,10,13,64,0.0177936
2,22717.1,365.514,560.113,490,5,60,10,1063,10,13,64,0.0177936
2,24832,1557.11,2217.05,1937,3,148,23,4377,19,19,268,0.0177936
2,59094.9,1557.11,2217.05,1937,6,148,23,4377,19,19,268,0.0177936
2,27977,1632.79,3279.74,2873,8,178,34,4444,21,37,411,0.0177936
2,46106.1,1632.79,3279.74,2873,15,178,34,4444,21,37,411,0.0177936
2,47172.5,1198.65,4537.81,4073,12,125,19,3339,24,90,395,0.0177936
2,51085,1198.65,4537.81,4073,8,125,19,3339,24,90,395,0.0177936
2,22898.7,273.616,935.179,829,3,48,11,642,12,13,91,0.0177936
2,24240,273.616,935.179,829,7,48,11,642,12,13,91,0.0177936
2,24401,573.155,1347.7,1182,6,88,16,1465,19,30,139,0.0177936
2,37322.2,573.155,1347.7,1182,11,88,16,1465,19,30,139,0.0177936
2,5347.24,531.671,420.034,368,4,81,13,1493,11,16,54,0.0177936
2,26786.7,531.671,420.034,368,11,81,13,1493,11,16,54,0.0177936
2,8715.22,253.457,995.499,870,3,38,11,724,15,12,123,0.0177936
2,23555.8,253.457,995.499,870,8,38,11,724,15,12,123,0.0177936
2,10027.4,687.809,1607,1407,7,85,13,2058,15,18,206,0.0177936
2,34274.5,687.809,1607,1407,15,85,13,2058,15,18,206,0.0177936
2,19326.6,796.531,1252.06,1084,4,109,22,2229,16,21,151,0.0177936
2,29895.7,796.531,1252.06,1084,9,109,22,2229,16,21,151,0.0177936
2,15413.2,618.93,1144.08,1016,4,78,13,1827,13,20,139,0.0177936
2,35238.2,618.93,1144.08,1016,8,78,13,1827,13,20,139,0.0177936
2,18177.6,361.999,843.562,740,4,57,9,1107,11,21,103,0.0177936
2,28263.7,361.999,843.562,740,8,57,9,1107,11,21,103,0.0177936
2,31167.3,431.792,1543.65,1372,4,65,13,1310,17,19,167,0.0177936
2,31474.5,431.792,1543.65,1372,7,65,13,1310,17,19,167,0.0177936
2,24047.7,920.174,3045.33,2671,8,118,24,2506,30,39,345,0.0177936
2,42181.7,920.174,3045.33,2671,11,118,24,2506,30,39,345,0.0177936
2,15692.7,1465.33,975.137,850,6,179,28,3871,17,25,120,0.0177936
2,38755.4,1465.33,975.137,850,8,179,28,3871,17,25,120,0.0177936
2,9467.22,823.411,1589.67,1394,3,82,11,2280,18,14,203,0.0177936
2,40932.6,823.411,1589.67,1394,14,82,11,2280,18,14,203,0.0177936
2,13762.6,632.546,881.788,782,6,87,17,1660,17,22,111,0.0177936
2,32429.5,632.546,881.788,782,10,87,17,1660,17,22,111,0.0177936
2,26949.4,779.848,2318.23,2045,7,95,15,2302,18,56,277,0.0177936
2,42516.9,779.848,2318.23,2045,10,95,15,2302,18,56,277,0.0177936
2,31195.1,594.158,2389.59,2102,11,85,22,1801,20,59,284,0.0177936
2,37840.3,594.158,2389.59,2102,10,85,22,1801,20,59,284,0.0177936
2,43473,573.086,1923.27,1683,2,76,15,1561,22,14,224,0.0177936
2,45370,573.086,1923.27,1683,14,76,15,1561,22,14,224,0.0177936
2,26622,299.361,1409.51,1255,7,50,12,905,14,28,138,0.0177936
2,27445.1,299.361,1409.51,1255,8,50,12,905,14,28,138,0.0177936
2,22961.4,857.928,3748.22,3343,7,109,17,2496,30,41,296,0.0177936
2,41437,857.928,3748.22,3343,6,109,17,2496,30,41,296,0.0177936
2,33858.5,2044.36,3685.38,3299,7,114,19,3104,17,51,321,0.0177936
2,36695.1,2044.36,3685.38,3299,11,114,19,3104,17,51,321,0.0177936
2,15209.1,1509.62,787.655,695,5,148,23,3043,15,24,78,0.0177936
2,34650.9,1509.62,787.655,695,8,148,23,3043,15,24,78,0.0177936
2,33620.4,598.614,1545.36,1353,2,76,17,1499,20,19,162,0.0177936
2,39067.8,598.614,1545.36,1353,8,76,17,1499,20,19,162,0.0177936
2,43581.6,1195.18,3561.99,3152,12,112,18,3137,25,75,423,0.0177936
2,45651.3,1195.18,3561.99,3152,9,112,18,3137,25,75,423,0.0177936
2,5332.72,448.501,601.401,528,3,81,14,1245,13,11,76,0.0177936
2,23390.7,448.501,601.401,528,8,81,14,1245,13,11,76,0.0177936
2,31692.3,505.677,932.563,835,3,69,15,1545,16,18,114,0.0177936
2,39447.6,505.677,932.563,835,9,69,15,1545,16,18,114,0.0177936
2,12325.5,996.474,861.072,762,5,108,13,2640,17,22,94,0.0177936
2,33952.9,996.474,861.072,762,6,108,13,2640,17,22,94,0.0177936
2,17362.3,889.441,559.839,489,7,111,17,2144,13,24,68,0.0177936
2,30471.7,889.441,559.839,489,5,111,17,2144,13,24,68,0.0177936
2,14138.7,406.197,661.517,585,4,65,10,1015,13,17,81,0.0177936
2,24116.7,406.197,661.517,585,7,65,10,1015,13,17,81,0.0177936
2,24123.5,487.171,1533.16,1348,7,72,13,1351,21,27,181,0.0177936
2,26394.6,487.171,1533.16,1348,9,72,13,1351,21,27,181,0.0177936
2,16071.2,192.374,934.986,829,3,36,14,558,11,18,103,0.0177936
2,20513,192.374,934.986,829,5,36,14,558,11,18,103,0.0177936
2,8187.18,1171.62,484.122,422,2,138,15,3053,12,14,66,0.0177936
2,35829.5,1171.62,484.122,422,11,138,15,3053,12,14,66,0.0177936
2,8811.48,621.268,895.499,781,4,90,13,1679,14,21,114,0.0177936
2,29733.4,621.268,895.499,781,7,90,13,1679,14,21,114,0.0177936
2,23028.3,682.459,792.763,686,7,95,17,2037,13,26,97,0.0177936
2,35005.7,682.459,792.763,686,5,95,17,2037,13,26,97,0.0177936
2,20506.2,752.929,1227.28,1072,7,100,20,2208,21,24,140,0.0177936
2,35437,752.929,1227.28,1072,13,100,20,2208,21,24,140,0.0177936
2,9466.41,259.767,473.993,421,3,62,14,740,9,13,64,0.0177936
2,19515.9,259.767,473.993,421,10,62,14,740,9,13,64,0.0177936
2,16134.7,780.838,1712.44,1487,5,118,26,2259,23,20,220,0.0177936
2,33837.8,780.838,1712.44,1487,8,118,26,2259,23,20,220,0.0177936
2,24506.5,926.082,2141.91,1864,7,125,21,2614,22,32,290,0.0177936
2,44316.8,926.082,2141.91,1864,15,125,21,2614,22,32,290,0.0177936
2,35406.5,1168.22,3462.34,3041,8,119,18,3304,20,74,391,0.0177936
2,39647.6,1168.22,3462.34,3041,11,119,18,3304,20,74,391,0.0177936
2,4914.02,642.408,494.956,431,3,88,11,1822,14,11,54,0.0177936
2,27536.4,642.408,494.956,431,4,88,11,1822,14,11,54,0.0177936
