K,dist,cost_ki,cost_hi,h_cost,vnum,gen_ki,push_ki,pop_ki,gen_hi,push_hi,pop_hi,density
1,32926.2,489.533,699.895,620,5,59,10,1274,11,3,66,0.0177936
1,19800.4,192.137,212.108,188,4,29,7,504,8,5,21,0.0177936
1,23862.9,300.806,978.641,872,7,43,10,829,10,4,86,0.0177936
1,6863.23,32.417,108.273,94,3,9,5,69,6,4,9,0.0177936
1,14678.2,121.167,337.793,304,6,29,6,335,8,2,23,0.0177936
1,31363.4,848.667,919.265,812,7,80,9,2140,7,3,86,0.0177936
1,28470.3,282.574,94.506,84,3,39,8,759,6,4,9,0.0177936
1,21194.5,244.624,719.379,635,7,42,11,679,8,2,71,0.0177936
1,14133.8,119.821,342.232,307,6,28,5,316,8,3,28,0.0177936
1,20040.7,192.598,109.956,96,3,25,4,523,6,3,10,0.0177936
1,16740.8,153.85,577.122,512,5,32,12,409,9,4,53,0.0177936
1,5915.19,15.183,65.127,58,3,10,6,33,5,3,6,0.0177936
1,20077.9,372.937,382.729,344,8,46,4,864,10,3,30,0.0177936
1,22760.9,438.925,453.126,404,6,48,13,754,8,4,37,0.0177936
1,16110.5,188.499,422.255,380,7,31,8,415,8,5,38,0.0177936
1,5376.52,15.207,75.011,67,3,7,3,43,6,3,6,0.0177936
1,22614.2,299.93,707.103,624,6,48,13,784,10,4,75,0.0177936
1,19697.7,240.603,921.384,824,11,36,10,645,12,5,86,0.0177936
1,23702.8,377.809,558.824,493,10,46,5,712,11,3,55,0.0177936
1,12630.1,139.839,351.448,304,6,22,9,303,7,4,28,0.0177936
1,36147.2,982.849,770.629,697,7,72,8,2167,11,4,60,0.0177936
1,17038.1,221.573,330.916,293,5,37,7,520,10,4,26,0.0177936
1,5869.15,33.782,103.328,90,3,8,5,51,6,4,9,0.0177936
1,27737.8,235.636,1058.73,948,9,31,3,646,11,3,100,0.0177936
1,18975.9,227.667,410.989,365,7,33,8,676,8,4,38,0.0177936
1,10384,58.322,159.901,145,5,15,4,163,5,3,12,0.0177936
1,16277.4,119.543,356.911,326,4,23,6,369,6,3,26,0.0177936
1,15320.6,175.865,639.264,580,7,30,7,400,6,3,50,0.0177936
1,11359.4,68.944,115.917,103,3,17,3,200,4,2,11,0.0177936
1,29548.8,879.539,725.156,651,7,103,17,2297,10,3,60,0.0177936
1,30722.5,935.247,1294.8,1148,6,120,23,2566,14,3,109,0.0177936
1,25095.7,645.384,247.023,213,4,65,6,1514,8,4,28,0.0177936
1,22952.4,448.457,1141.31,1031,12,57,9,1116,11,3,104,0.0177936
1,13886.7,110.045,152.025,134,5,22,4,319,6,3,16,0.0177936
1,15839.7,140.961,207.479,184,3,23,5,395,6,3,21,0.0177936
1,12840.6,91.513,172.347,153,5,20,4,281,6,3,17,0.0177936
1,39380.1,511.53,232.877,205,2,65,11,1326,7,4,26,0.0177936
1,13099.6,96.918,168.942,151,4,20,4,277,6,3,14,0.0177936
1,14474.1,151.955,222.837,200,4,27,7,350,8,4,18,0.0177936
1,27255.4,221.939,1191.21,1068,12,38,4,685,12,3,114,0.0177936
1,15496.3,158.097,138.625,123,4,36,9,365,6,4,12,0.0177936
1,32980.5,1068.35,1737.23,1539,7,99,22,2852,12,4,175,0.0177936
1,24969.7,374.374,618.693,552,7,63,10,1115,10,5,67,0.0177936
1,18554.9,242.609,317.813,287,6,43,7,707,9,3,27,0.0177936
1,8516.7,31.368,96.812,84,3,12,6,86,8,5,9,0.0177936
1,17790.7,199.355,961.31,855,8,27,5,463,9,4,93,0.0177936
