         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys
         9,    1954.6,        10,        10,        29,    501666,      3169,   1572.06,      4853,    68.712,       222,   577.538,       205,    26.077,       205,   47062.4,        93,     46955,        86,        11,        33,         0,         0,         0,         0,         0,   118.441,       136,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1685.96,         9,         9,        31,    367612,      1656,   946.547,      3219,    52.376,       171,   619.419,       184,    21.827,       184,   56119.1,        91,     56041,        77,        11,        26,         0,         0,         0,         0,         0,   101.732,       127,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1254.39,        11,        11,        25,    129346,       929,   636.487,      2103,    24.973,        95,   595.424,       109,     9.713,       109,   24213.4,        53,     24174,        32,         4,         8,         0,         0,         0,         0,         0,     38.42,        61,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2712.17,         9,         9,        35,    866497,      4520,   1765.22,      5702,   121.276,       373,   634.884,       248,    32.465,       248,   97998.5,       108,     97893,       100,        10,        36,         0,         0,         0,         0,         0,   374.802,       225,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1263.56,        10,        10,        26,    435502,      2050,   808.682,      1850,    54.539,       127,   608.424,       144,    17.591,       144,   17930.4,        64,     17877,        54,         5,        17,         0,         0,         0,         0,         0,    85.929,        92,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2489.84,        12,        12,        30,    473058,      6204,    2631.1,      8599,   127.099,       374,   619.538,       293,    36.503,       293,   22069.6,       112,     21973,       104,        19,        41,         0,         0,         0,         0,         0,   141.599,       189,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2256.87,        11,        11,        38,1.22289e+06,      6033,   2551.64,      5495,   122.353,       326,   644.447,       316,    51.254,       316,     35994,        96,     35905,        82,        13,        27,         0,         0,         0,         0,         0,   113.808,       163,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1831.98,         6,        10,        23,    343548,      1483,   1138.67,      3565,    59.407,       162,   612.423,       115,    10.842,       115,   33942.7,        57,     33904,        39,         9,        15,         0,         0,         0,         0,         0,    58.374,        90,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1724.74,        10,        10,        37,    660471,      3772,   1295.73,      4244,     73.16,       255,   614.381,       299,    39.349,       299,   44935.3,       113,     44842,        90,        18,        33,         0,         0,         0,         0,         0,    87.489,       132,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1694.69,        11,        11,        27,    195638,      2279,   1510.43,      3341,    60.931,       172,   616.893,       158,     14.79,       158,   36814.2,        92,     36749,        66,        15,        20,         0,         0,         0,         0,         0,    93.133,       119,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1850.04,        10,        10,        32,    806028,      3538,   1400.62,      4534,    72.791,       189,   592.592,       273,    33.458,       273,   58136.4,        77,     58068,        68,         8,        24,         0,         0,         0,         0,         0,    79.461,       109,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1726.58,         8,        10,        20,    363037,      1394,   1079.05,      2923,    47.925,       137,   556.524,       111,     9.385,       111,   50320.4,        61,     50273,        45,         9,        17,         0,         0,         0,         0,         0,      58.6,        85,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1799.51,         9,         9,        31,    294219,      1661,   1242.87,      3566,    70.387,       234,   634.065,       131,    14.157,       131,   75366.6,        89,     75284,        84,         9,        35,         0,         0,         0,         0,         0,   125.601,       161,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2167.95,        14,        14,        34,1.71551e+06,      7188,   1472.73,      4277,   137.657,       372,   643.676,       413,    60.017,       413,     90088,        94,     89984,        93,         8,        39,         0,         0,         0,         0,         0,   258.655,       233,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2044.35,        11,        11,        27,    376131,      2874,   1601.98,      4804,    62.866,       214,   585.861,       191,    24.303,       191,   41952.9,        70,     41878,        68,        11,        33,         0,         0,         0,         0,         0,    90.532,       119,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,      1769,         7,         9,        35,    156341,      1325,   1054.06,      3538,    53.243,       164,   580.903,       122,    14.186,       122,   63539.4,        76,     63469,        63,         9,        24,         0,         0,         0,         0,         0,    86.346,       111,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1654.55,         7,        12,        26,    338762,      2679,   1287.09,      3923,     48.63,       167,   596.527,       275,    35.031,       275,   42943.5,        75,     42883,        52,         4,        11,         0,         0,         0,         0,         0,    67.493,       103,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1522.14,         9,         9,        19,    279715,       680,   439.456,      1332,    25.419,        88,   568.667,        81,     5.235,        81,   23009.6,        44,     22986,        24,         6,         9,         0,         0,         0,         0,         0,    37.839,        58,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2050.93,         9,        12,        27,    357247,      2623,   1414.22,      5172,    64.154,       225,   581.078,       199,    22.963,       199,   66206.7,        87,     66133,        77,        10,        28,         0,         0,         0,         0,         0,   111.959,       132,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,    2085.1,         8,         9,        36,    849050,      5288,   1874.16,      6349,    91.363,       307,   684.889,       304,    43.641,       304,   70749.2,       113,     70633,        94,        13,        30,         0,         0,         0,         0,         0,   128.425,       188,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2195.68,         9,         9,        30,2.05402e+06,      3366,   1729.43,      5314,    97.588,       281,    582.44,       180,    23.081,       180,   49980.3,        98,     49895,        80,        18,        27,         0,         0,         0,         0,         0,   113.426,       147,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2160.98,         9,         9,        44,1.34892e+06,      7331,   1769.04,      5724,   117.465,       387,   613.464,       412,    61.455,       412,    109525,       125,    109403,       119,        22,        47,         0,         0,         0,         0,         0,   167.445,       219,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2078.02,        10,        11,        28,1.26357e+06,      6628,   1461.65,      5537,   110.526,       318,   592.461,       224,    26.472,       224,   46171.3,        86,     46099,        67,        12,        26,         0,         0,         0,         0,         0,   131.033,       184,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1498.79,        12,        12,        30,    406964,      2424,   1000.56,      3069,    52.446,       159,   579.251,       191,    21.198,       191,   67951.5,        83,     67874,        68,         8,        23,         0,         0,         0,         0,         0,     73.96,       114,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2056.37,        11,        11,        25,    341468,      2514,   1455.14,      5450,    79.801,       266,       587,       192,     22.25,       192,   29723.7,        92,     29650,        84,        10,        35,         0,         0,         0,         0,         0,    84.723,       138,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1950.61,         7,         9,        28,    251308,      2203,   1877.16,      4516,    54.826,       172,   576.485,       169,    16.037,       169,   23170.5,        84,     23114,        51,        12,        12,         0,         0,         0,         0,         0,    68.658,        97,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1819.19,        10,        10,        21,    190588,      1167,   1316.69,      4315,    59.181,       157,   628.794,       135,    14.041,       135,   16193.7,        68,     16143,        52,         7,        20,         0,         0,         0,         0,         0,    64.481,        92,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,    1754.4,        10,        10,        33,    230623,      1518,   1212.81,      3633,    56.914,       152,   578.608,       172,    18.568,       172,   40267.6,        68,     40205,        53,         7,        17,         0,         0,         0,         0,         0,    56.636,        82,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2217.02,        10,        10,        43,    908729,      6869,   1687.23,      5632,    99.889,       307,   614.658,       359,    69.746,       359,   95288.3,       109,     95173,       115,        12,        43,         0,         0,         0,         0,         0,   139.505,       185,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2294.99,         9,         9,        28,    861511,      4575,   1988.52,      6052,   123.298,       313,   580.637,       206,    22.762,       206,   63716.4,        96,     63621,        86,        11,        35,         0,         0,         0,         0,         0,     127.9,       152,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1862.67,         9,         9,        31,    245822,      2492,    1421.7,      4281,    63.249,       225,    624.22,       181,    20.085,       181,   60118.4,        71,     60057,        66,         6,        28,         0,         0,         0,         0,         0,    72.879,       106,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   911.277,         9,         9,        22,    155670,       476,     43.38,       176,     23.02,        80,   828.045,        69,     6.162,        69,   23200.1,        36,     23168,        30,         0,        16,         0,         0,         0,         0,         0,    91.104,        51,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2052.54,        11,        11,        34,1.06935e+06,      3642,   1520.22,      4421,    70.356,       207,   776.162,       242,    28.072,       242,   54872.5,        95,     54794,        75,        14,        24,         0,         0,         0,         0,         0,    83.305,       122,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   1560.03,        11,        11,        29,    487701,      2867,   766.013,      2662,    54.177,       165,   632.927,       233,    29.749,       233,   51331.3,        78,     51267,        65,         7,        20,         0,         0,         0,         0,         0,    77.711,       107,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
         9,   2145.01,        10,        10,        22,    579009,      1867,   1198.69,      4115,    67.581,       214,   572.884,       102,    10.054,       102,   36368.6,        59,     36323,        48,         5,        20,         0,         0,         0,         0,         0,    91.197,       106,    566353,    399934,    188905,    310458,    134320,         0,         0,      9000,      8385
