k,dist,cost_ki0,cost_ki,cost_hi,cost_edbt,gen_ki0,gen_ki,gen_hi,gen_edbt,pts,polys
3,1114.95,735.363,33.74,23192.3,163686,2153,85,33,504,9000,8385
3,1289.07,679.463,44.561,21126.7,207599,2128,119,23,1256,9000,8385
3,781.421,112.098,11.082,5025.8,40238.3,367,38,17,119,9000,8385
3,1444.93,978.181,42.612,23991.4,419800,2870,114,41,1722,9000,8385
3,1237.61,444.91,11.851,16828.9,78257.3,1559,36,24,290,9000,8385
3,744.666,252.473,9.292,1341.17,48420.9,684,30,18,118,9000,8385
3,1116.91,721.778,35.3,30183.1,3.71366e+06,2331,89,49,12931,9000,8385
3,911.634,314.273,28.19,3257.43,111414,855,77,18,452,9000,8385
3,1156.49,620.947,29.499,10941,78469.7,1833,90,25,717,9000,8385
3,617.016,381.811,8.984,4233.91,79269.7,1164,28,22,166,9000,8385
3,1214.59,675.841,35.765,12655,82193.8,1966,98,29,432,9000,8385
3,831.522,491.634,15.995,16415.1,199988,1386,46,26,336,9000,8385
3,1386.73,857.567,36.849,18835.8,491102,2570,102,38,887,9000,8385
3,1033.45,493.033,31.195,15976.4,119905,1503,107,31,497,9000,8385
3,1648.97,1160.04,51.191,14309.2,161202,3920,168,29,1026,9000,8385
3,1092.08,641.806,29.802,10347.2,158929,1617,80,31,634,9000,8385
3,625.02,354.879,22.12,15234.5,109537,1076,61,32,250,9000,8385
3,992.05,461.595,14.293,9431.72,91658.6,1367,46,24,267,9000,8385
3,1141.79,487.514,21.791,16592.4,81435.1,1442,66,22,371,9000,8385
3,1479.8,1105.49,53.956,7689.05,282471,3494,145,49,1941,9000,8385
3,975.863,505.569,16.706,16739.1,112686,1525,52,30,527,9000,8385
3,1029.72,236.915,14.828,12375.3,68678.3,827,46,24,169,9000,8385
3,543.771,384.326,14.52,13007.8,44410.2,1234,42,28,205,9000,8385
3,534.11,19.323,8.663,2517.46,35236.5,69,31,20,54,9000,8385
3,466.319,109.065,12.548,7800.21,53725.1,281,35,20,164,9000,8385
3,908.432,118.004,9.18,2264.64,46818.4,360,29,11,100,9000,8385
3,1014.24,598.538,27.944,5891.9,483849,1815,72,15,571,9000,8385
3,1176.6,735.185,28.648,12905.4,108488,1784,76,19,396,9000,8385
3,866.822,363.076,19.706,9566.2,55163.1,962,55,21,210,9000,8385
3,747.511,387.042,8.154,2625.79,171138,1153,29,11,363,9000,8385
3,1345.54,785.589,25.837,28283.7,139658,2270,80,26,306,9000,8385
3,788.006,388.792,21.972,11249.6,44783.3,1217,64,28,202,9000,8385
3,1328.61,700.495,43.01,12506.8,874574,2036,101,40,2007,9000,8385
3,669.075,218.594,13.237,2650.92,40803,732,40,16,129,9000,8385
3,951.254,132.439,20.791,15422.8,125455,413,58,27,244,9000,8385
3,1251.91,504.484,26.708,11761.4,242385,1532,69,26,540,9000,8385
3,509.613,227.455,8.535,7027.51,52603.4,777,26,15,115,9000,8385
3,962.68,583.706,19.398,19779.2,70089,1816,57,27,377,9000,8385
3,1588.28,934.633,57.273,20709,362629,3055,149,42,1168,9000,8385
3,1054.61,484.434,20.243,12252.1,232224,1557,67,25,424,9000,8385
3,1072.24,631.178,111.452,46424.2,408404,1786,121,46,1543,9000,8385
3,449.027,26.931,7.951,1535.08,1831.91,56,23,12,13,9000,8385
