K,order,dist,cost_ki,cost_edbt,vnum,density
4,4,1437.67,9.398,81765.5,2,1.08025
4,1,764.236,40.011,183268,2,1.08025
4,2,1664.19,40.011,183268,3,1.08025
4,3,2629.5,40.011,183268,4,1.08025
4,4,2766.46,40.011,183268,3,1.08025
4,1,1703.14,26.031,114914,4,1.08025
4,2,1737.46,26.031,114914,2,1.08025
4,3,1929.01,26.031,114914,2,1.08025
4,4,2299.86,26.031,114914,3,1.08025
4,1,1559.95,31.51,162101,3,1.08025
4,2,2148.11,31.51,162101,3,1.08025
4,3,2203.69,31.51,162101,3,1.08025
4,4,2428.09,31.51,162101,3,1.08025
4,1,810.177,17.796,265869,2,1.08025
4,2,1096.18,17.796,265869,3,1.08025
4,3,1296.61,17.796,265869,2,1.08025
4,4,1481.77,17.796,265869,2,1.08025
4,1,1358.68,52.082,250818,2,1.08025
4,2,1655.01,52.082,250818,2,1.08025
4,3,3187,52.082,250818,7,1.08025
4,4,3522.54,52.082,250818,4,1.08025
4,1,1115.78,34.182,192600,2,1.08025
4,2,2130.6,34.182,192600,3,1.08025
4,3,2424.12,34.182,192600,3,1.08025
4,4,2759.92,34.182,192600,3,1.08025
4,1,1128.21,36.851,156859,2,1.08025
4,2,1376.2,36.851,156859,3,1.08025
4,3,1892.89,36.851,156859,2,1.08025
4,4,2684.8,36.851,156859,4,1.08025
4,1,2535.86,54.432,485827,4,1.08025
4,2,3064.02,54.432,485827,5,1.08025
4,3,3248.83,54.432,485827,6,1.08025
4,4,3411.41,54.432,485827,3,1.08025
4,1,1803.69,91.15,1.15215e+06,2,1.08025
4,2,2413.26,91.15,1.15215e+06,4,1.08025
4,3,4015.89,91.15,1.15215e+06,7,1.08025
4,4,4173.97,91.15,1.15215e+06,6,1.08025
4,1,1603.98,16.75,96307.3,2,1.08025
4,2,1783.61,16.75,96307.3,2,1.08025
4,3,1971.68,16.75,96307.3,4,1.08025
4,4,1993.86,16.75,96307.3,2,1.08025
4,1,728.669,31.055,109424,3,1.08025
4,2,1130.38,31.055,109424,3,1.08025
4,3,1938.67,31.055,109424,2,1.08025
4,4,2692.83,31.055,109424,5,1.08025
4,1,319.39,19.03,306646,2,1.08025
4,2,1279.24,19.03,306646,2,1.08025
4,3,1411.86,19.03,306646,2,1.08025
4,4,1593.09,19.03,306646,2,1.08025
4,1,1459.3,55.708,238443,3,1.08025
4,2,1559.85,55.708,238443,2,1.08025
4,3,3342.18,55.708,238443,2,1.08025
4,4,3361.53,55.708,238443,3,1.08025
4,1,533.802,15.302,66818.5,2,1.08025
4,2,1246.07,15.302,66818.5,2,1.08025
4,3,1521.61,15.302,66818.5,2,1.08025
4,4,1912.93,15.302,66818.5,3,1.08025
4,1,816.838,12.152,108661,2,1.08025
4,2,1032.35,12.152,108661,2,1.08025
4,3,1086.54,12.152,108661,3,1.08025
4,4,1612.34,12.152,108661,3,1.08025
4,1,1808.91,24.808,247719,2,1.08025
4,2,2183.12,24.808,247719,2,1.08025
4,3,2358.44,24.808,247719,2,1.08025
4,4,2800.89,24.808,247719,3,1.08025
4,1,313.345,44.238,220684,2,1.08025
4,2,1721.81,44.238,220684,5,1.08025
4,3,2401.25,44.238,220684,2,1.08025
4,4,3039.25,44.238,220684,2,1.08025
4,1,187.11,22.169,51526.8,2,1.08025
4,2,637.272,22.169,51526.8,2,1.08025
4,3,1420.63,22.169,51526.8,2,1.08025
4,4,1901.24,22.169,51526.8,2,1.08025
4,1,461.322,44.891,210893,2,1.08025
4,2,748.447,44.891,210893,2,1.08025
4,3,1986.24,44.891,210893,4,1.08025
4,4,2833.77,44.891,210893,4,1.08025
4,1,1858.47,69.391,323564,5,1.08025
4,2,2374.83,69.391,323564,3,1.08025
4,3,2634.57,69.391,323564,6,1.08025
4,4,3156.8,69.391,323564,2,1.08025
4,1,1159.31,37.406,242232,3,1.08025
4,2,2094.51,37.406,242232,5,1.08025
4,3,2500.72,37.406,242232,3,1.08025
4,4,2864.39,37.406,242232,4,1.08025
4,1,1097.41,37.282,79958.3,2,1.08025
4,2,1926.39,37.282,79958.3,4,1.08025
4,3,2184.21,37.282,79958.3,3,1.08025
4,4,2772.22,37.282,79958.3,3,1.08025
4,1,159.013,16.716,89479.6,2,1.08025
4,2,728.435,16.716,89479.6,2,1.08025
4,3,1697.92,16.716,89479.6,2,1.08025
4,4,2299.16,16.716,89479.6,4,1.08025
4,1,1610.99,57.913,262247,3,1.08025
4,2,2790.74,57.913,262247,5,1.08025
4,3,3642.61,57.913,262247,4,1.08025
4,4,3859.98,57.913,262247,5,1.08025
4,1,327.873,53.904,139029,2,1.08025
4,2,2143.67,53.904,139029,3,1.08025
4,3,2630.26,53.904,139029,4,1.08025
4,4,2932.38,53.904,139029,4,1.08025
4,1,1761.8,21.387,113480,2,1.08025
4,2,1772.36,21.387,113480,3,1.08025
4,3,2063.77,21.387,113480,2,1.08025
4,4,2411.29,21.387,113480,2,1.08025
4,1,1245.46,20.368,87357.4,2,1.08025
4,2,1270.63,20.368,87357.4,2,1.08025
4,3,1319.28,20.368,87357.4,2,1.08025
4,4,2118.98,20.368,87357.4,3,1.08025
4,1,762.273,18.07,45727.1,2,1.08025
4,2,1046.14,18.07,45727.1,2,1.08025
4,3,1357.51,18.07,45727.1,3,1.08025
4,4,1680.67,18.07,45727.1,3,1.08025
4,1,983.027,21.753,96837.3,3,1.08025
4,2,1783.71,21.753,96837.3,2,1.08025
4,3,2212.2,21.753,96837.3,3,1.08025
4,4,2218.68,21.753,96837.3,2,1.08025
4,1,856.411,16.478,72154.9,3,1.08025
4,2,1157.74,16.478,72154.9,2,1.08025
4,3,1262.98,16.478,72154.9,3,1.08025
4,4,1416.87,16.478,72154.9,2,1.08025
4,1,1987.24,57.502,342331,3,1.08025
4,2,2987.87,57.502,342331,3,1.08025
4,3,3833.4,57.502,342331,4,1.08025
4,4,3844.4,57.502,342331,4,1.08025
4,1,1569.78,35.261,152833,4,1.08025
4,2,1755.38,35.261,152833,3,1.08025
4,3,2138.37,35.261,152833,4,1.08025
4,4,2266.6,35.261,152833,2,1.08025
4,1,638.562,11.293,63117.5,2,1.08025
4,2,643.84,11.293,63117.5,2,1.08025
4,3,777.257,11.293,63117.5,2,1.08025
4,4,975.334,11.293,63117.5,2,1.08025
4,1,1497.15,36.597,86439,3,1.08025
4,2,1554.7,36.597,86439,3,1.08025
4,3,2114.54,36.597,86439,3,1.08025
4,4,2946.92,36.597,86439,3,1.08025
4,1,2332.44,78.869,277717,6,1.08025
4,2,2379.24,78.869,277717,7,1.08025
4,3,2474.5,78.869,277717,5,1.08025
4,4,2629.16,78.869,277717,4,1.08025
4,1,1116.41,43.972,204731,2,1.08025
4,2,1433.32,43.972,204731,2,1.08025
4,3,1929.95,43.972,204731,2,1.08025
4,4,2549.49,43.972,204731,2,1.08025
4,1,963.563,30.183,145931,2,1.08025
4,2,992.073,30.183,145931,2,1.08025
4,3,1545.38,30.183,145931,3,1.08025
4,4,1724.63,30.183,145931,5,1.08025
4,1,603.299,11.905,44186.9,2,1.08025
4,2,960.825,11.905,44186.9,2,1.08025
4,3,1128.14,11.905,44186.9,2,1.08025
