vertices: 3940, polygons: 4498
       idx,    K,order,             dist_ki,           dist_edbt,             cost_ki,           cost_edbt,   vnum_ki, vnum_edbt
        20,    5,    4,             5536.04,             5536.04,               5.337,             14632.4,         2,         2
        21,    5,    0,                   0,                   0,               9.354,             28389.2,         1,         2
        21,    5,    1,             862.047,             862.047,               9.354,             28389.2,         2,         2
        21,    5,    2,             2105.97,             2105.97,               9.354,             28389.2,         3,         3
        21,    5,    3,             2226.91,             2226.91,               9.354,             28389.2,         2,         2
        21,    5,    4,             3328.04,             3328.04,               9.354,             28389.2,         2,         2
        22,    5,    0,                   0,                   0,              10.917,             25905.4,         1,         2
        22,    5,    1,             1318.18,             1318.18,              10.917,             25905.4,         2,         2
        22,    5,    2,             1767.52,             1767.52,              10.917,             25905.4,         2,         2
        22,    5,    3,             3659.32,             3659.32,              10.917,             25905.4,         2,         2
        22,    5,    4,             4748.56,             4748.56,              10.917,             25905.4,         3,         3
        23,    5,    0,                   0,                   0,              28.689,              121306,         1,         2
        23,    5,    1,             2960.04,             2960.04,              28.689,              121306,         2,         2
        23,    5,    2,             3996.69,             3996.69,              28.689,              121306,         4,         4
        23,    5,    3,             5299.52,             5299.52,              28.689,              121306,         4,         4
        23,    5,    4,             5984.59,             5984.59,              28.689,              121306,         4,         4
        24,    5,    0,                   0,                   0,               28.24,             51190.7,         1,         2
        24,    5,    1,             1918.32,             1918.32,               28.24,             51190.7,         2,         2
        24,    5,    2,             4839.79,             4839.79,               28.24,             51190.7,         3,         3
        24,    5,    3,             4952.37,             4952.37,               28.24,             51190.7,         3,         3
        24,    5,    4,             5179.38,             5179.38,               28.24,             51190.7,         3,         3
        25,    5,    0,                   0,                   0,               8.728,               23525,         1,         2
        25,    5,    1,             1582.74,             1582.74,               8.728,               23525,         4,         4
        25,    5,    2,              2150.4,              2150.4,               8.728,               23525,         2,         2
        25,    5,    3,             3013.75,             3013.75,               8.728,               23525,         4,         4
        25,    5,    4,             3528.37,             3528.37,               8.728,               23525,         2,         2
        26,    5,    0,                   0,                   0,              16.413,             20781.4,         1,         2
        26,    5,    1,             3135.39,             3135.39,              16.413,             20781.4,         4,         4
        26,    5,    2,             3138.03,             3138.03,              16.413,             20781.4,         3,         3
        26,    5,    3,             3517.17,             3517.17,              16.413,             20781.4,         3,         3
        26,    5,    4,             4759.11,             4759.11,              16.413,             20781.4,         3,         3
        27,    5,    0,                   0,                   0,              19.775,             19999.6,         1,         2
        27,    5,    1,             1246.94,             1246.94,              19.775,             19999.6,         2,         2
        27,    5,    2,             1915.25,             1915.25,              19.775,             19999.6,         2,         2
        27,    5,    3,              2046.5,              2046.5,              19.775,             19999.6,         2,         2
        27,    5,    4,             3434.72,             3434.72,              19.775,             19999.6,         3,         3
        28,    5,    0,                   0,                   0,              16.721,             33390.9,         1,         2
        28,    5,    1,             1978.92,             1978.92,              16.721,             33390.9,         2,         2
        28,    5,    2,             4079.69,             4079.69,              16.721,             33390.9,         2,         2
        28,    5,    3,             4729.96,             4729.96,              16.721,             33390.9,         2,         2
        28,    5,    4,             5090.96,             5090.96,              16.721,             33390.9,         3,         3
        29,    5,    0,                   0,                   0,              29.898,             80707.7,         1,         2
        29,    5,    1,             2226.57,             2226.57,              29.898,             80707.7,         2,         2
        29,    5,    2,             3227.82,             3227.82,              29.898,             80707.7,         2,         2
        29,    5,    3,             4107.06,             4107.06,              29.898,             80707.7,         2,         2
        29,    5,    4,             5183.12,             5183.12,              29.898,             80707.7,         2,         2
        30,    5,    0,                   0,                   0,              12.946,             26729.5,         1,         2
        30,    5,    1,              1166.4,              1166.4,              12.946,             26729.5,         2,         2
        30,    5,    2,             4024.67,             4024.67,              12.946,             26729.5,         3,         3
        30,    5,    3,             4295.69,             4295.69,              12.946,             26729.5,         3,         3
        30,    5,    4,             4723.88,             4723.88,              12.946,             26729.5,         3,         3
        31,    5,    0,                   0,                   0,              11.426,             48133.1,         1,         2
        31,    5,    1,             703.666,             703.666,              11.426,             48133.1,         2,         2
        31,    5,    2,             2780.28,             2780.28,              11.426,             48133.1,         2,         2
        31,    5,    3,              2836.3,              2836.3,              11.426,             48133.1,         2,         2
        31,    5,    4,              3053.6,              3053.6,              11.426,             48133.1,         2,         2
        32,    5,    0,                   0,                   0,              14.411,               64411,         1,         2
        32,    5,    1,             1767.26,             1767.26,              14.411,               64411,         2,         2
        32,    5,    2,             2226.91,             2226.91,              14.411,               64411,         2,         2
        32,    5,    3,              3514.1,              3514.1,              14.411,               64411,         2,         2
        32,    5,    4,             3814.98,             3814.98,              14.411,               64411,         3,         3
        33,    5,    0,                   0,                   0,               8.534,             41716.7,         1,         2
        33,    5,    1,             535.699,             535.699,               8.534,             41716.7,         2,         2
        33,    5,    2,             825.156,             825.156,               8.534,             41716.7,         2,         2
        33,    5,    3,             1649.74,             1649.74,               8.534,             41716.7,         2,         2
        33,    5,    4,             3113.36,             3113.36,               8.534,             41716.7,         2,         2
        34,    5,    0,                   0,                   0,              12.503,             17519.2,         1,         2
        34,    5,    1,             654.417,             654.417,              12.503,             17519.2,         2,         2
        34,    5,    2,              1371.9,              1371.9,              12.503,             17519.2,         2,         2
        34,    5,    3,             2729.59,             2729.59,              12.503,             17519.2,         2,         2
        34,    5,    4,             2846.82,             2846.82,              12.503,             17519.2,         2,         2
        35,    5,    0,                   0,                   0,              24.331,              130642,         1,         2
        35,    5,    1,             1508.99,             1508.99,              24.331,              130642,         2,         2
        35,    5,    2,             4943.69,             4943.69,              24.331,              130642,         6,         6
        35,    5,    3,             5212.04,             5212.04,              24.331,              130642,         4,         4
        35,    5,    4,             5849.59,             5849.59,              24.331,              130642,         2,         2
        36,    5,    0,                   0,                   0,              10.301,             25687.6,         1,         2
        36,    5,    1,                2678,                2678,              10.301,             25687.6,         2,         2
        36,    5,    2,             3173.46,             3173.46,              10.301,             25687.6,         2,         2
        36,    5,    3,              3310.5,              3310.5,              10.301,             25687.6,         2,         2
        36,    5,    4,             3641.07,             3641.07,              10.301,             25687.6,         2,         2
