         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys
         1,   4081.95,         1,         1,         4,         0,         0,   4023.48,     13056,   374.431,      1158,    13.441,        58,     8.224,        58,   714.146,        60,       669,        44,         9,         0,   748.702,        60,       704,        44,         9,    17.701,        28,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   22261.7,         1,         1,        11,         0,         0,    153525,    308381,   21500.9,     41611,   252.987,      1008,   231.779,      1008,   14637.7,      1012,     13760,       851,       120,         0,   14290.4,      1012,     13464,       851,       120,    99.964,       137,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   12131.2,         1,         1,        11,         0,         0,   41711.4,    107306,   5376.56,     13032,    91.311,       379,    76.333,       379,   5167.41,       382,      4879,       309,        54,         0,   5120.37,       382,      4847,       309,        54,    54.657,        75,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   4014.67,         1,         1,         5,         0,         0,    5048.6,     14348,   273.528,      1088,    13.569,        60,     8.515,        60,   827.337,        60,       772,        43,        10,         0,   735.064,        60,       693,        43,        10,    20.541,        31,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   23961.4,         1,         1,        33,         0,         0,    138214,    282021,   19563.8,     35562,    442.66,      1720,   397.854,      1720,   24344.7,      1722,     22795,      1455,       193,         0,   23956.2,      1722,     22504,      1455,       193,   118.722,       154,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,      5922,         1,         1,         8,         0,         0,   9726.82,     29601,   893.142,      2646,    37.278,       157,    27.788,       157,   2120.68,       160,      2006,       126,        24,         0,   2090.54,       160,      1982,       126,        24,    44.441,        67,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   38276.6,         1,         1,        54,         0,         0,    392067,    697088,   63331.5,    101818,   4454.94,     12466,   4110.64,     12466,    148684,     10092,    138521,      8683,      1070,         0,    152008,     10092,    141499,      8683,      1070,    215.53,       265,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   2646.46,         1,         1,         4,         0,         0,   2980.86,      6099,   135.554,       399,     4.918,        15,     2.013,        15,   153.877,        17,       144,         8,         4,         0,   149.454,        17,       140,         8,         4,    11.765,        17,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,     15800,         1,         1,        17,         0,         0,   78483.7,    182198,   9806.98,     22685,   177.925,       651,   159.821,       651,   8803.72,       653,      8283,       541,        82,         0,   8884.65,       653,      8363,       541,        82,    76.927,       105,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   16763.2,         1,         1,        17,         0,         0,   90350.3,    199892,     11778,     26577,   216.269,       822,    195.23,       822,   11637.5,       826,     10901,       685,       104,         0,   11247.7,       826,     10532,       685,       104,    78.779,       106,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
