         k,      dist, cost_poly,  gen_poly,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_ki,    gen_ki,  cost_ki0,   gen_ki0,  cost_pre,   gen_pre,   edgecnt,    damcnt,       pts,     polys
         1,   27143.8,    111039,    241319,   41061.4,      2382,     38776,      2044,         0,   23960.2,     47257,    181568,    378432,    446514,    413370,    188905,    374639,        15,      8385
         1,   9246.26,    133090,    266794,   3368.42,       237,      3219,       182,         0,   2228.42,      6423,   22987.3,     61392,    446514,    413370,    188905,    374639,        15,      8385
         1,   14031.3,   52241.7,    128771,   7460.27,       471,      7106,       382,         0,   8317.98,     18488,   63012.4,    142066,    446514,    413370,    188905,    374639,        15,      8385
         1,   13382.6,   55259.4,    124499,   2594.12,       184,      2452,       135,         0,   6551.26,     14940,     50836,    117505,    446514,    413370,    188905,    374639,        15,      8385
         1,   11750.2,   53455.3,    123329,   5837.11,       347,      5575,       294,         0,   4716.82,     11710,     42717,     97009,    446514,    413370,    188905,    374639,        15,      8385
         1,   12863.4,   51734.4,    119573,   720.469,        75,       665,        41,         0,    6237.3,     14745,   51123.5,    130420,    446514,    413370,    188905,    374639,        15,      8385
         1,   18607.6,   83949.5,    186081,     28713,      1734,     27330,      1475,         0,   16151.1,     33611,    118050,    243051,    446514,    413370,    188905,    374639,        15,      8385
         1,   4053.62,   36686.5,     96027,   676.598,        44,       649,        31,         0,    354.42,      1117,    4832.2,     14467,    446514,    413370,    188905,    374639,        15,      8385
         1,   16637.1,     48149,    116233,   26622.7,      1579,     25250,      1326,         0,   12341.8,     26982,   89278.1,    197344,    446514,    413370,    188905,    374639,        15,      8385
         1,   12483.7,   38781.1,     94463,    8990.5,       558,      8553,       458,         0,   6244.45,     14566,   48379.1,    120570,    446514,    413370,    188905,    374639,        15,      8385
         1,   15625.3,     72248,    161697,     12015,       755,     11382,       611,         0,   10850.9,     23372,   81330.7,    183772,    446514,    413370,    188905,    374639,        15,      8385
         1,   12776.5,   38015.4,     94918,   3414.17,       183,      3279,       145,         0,   6970.15,     14319,     52182,    125355,    446514,    413370,    188905,    374639,        15,      8385
         1,   16293.3,   94466.5,    209731,   8247.44,       504,      7838,       410,         0,   10053.2,     21956,   76654.6,    177295,    446514,    413370,    188905,    374639,        15,      8385
         1,   8465.67,   77232.4,    166086,   3164.58,       202,      3022,       160,         0,   1962.69,      5579,   18851.6,     53710,    446514,    413370,    188905,    374639,        15,      8385
         1,   19913.6,   89483.3,    198060,     21834,      1307,     20735,      1096,         0,   16631.2,     33912,    116965,    238283,    446514,    413370,    188905,    374639,        15,      8385
         1,   5402.23,   72032.4,    154049,   1854.44,       115,      1761,        87,         0,   610.956,      2105,   8336.58,     23454,    446514,    413370,    188905,    374639,        15,      8385
