k,order,dist,cost_polyanya,cost_ki,cost_hi,cost_hi2,h_cost,h_cost2,vnum,gen_poly,push_poly,gen_ki,push_ki,prune_ki,gen_hi,push_hi,prune_hi,hcall,reevaluate,gen_hi2,push_hi2,prune_hi2,hcall2,reevaluate2,precost,gen_pre,edgecnt,damcnt,pts,polys
1,1,21398.5,13667,12077.9,11201.5,3759.41,9851,2752,25,34032,33071,26112,25501,2441,1442,1403,32,1229,0,1442,1403,32,337,0,278934,317068,133402,290906,6,5862
1,1,17002.1,26382,4593.44,4459.91,1342.23,3934,908,18,59984,58282,9752,9493,773,633,606,5,511,0,633,606,5,121,0,278934,317068,133402,290906,6,5862
1,1,27494,19028.9,19963.5,39779.9,12046,35057,8495,33,44751,43429,39921,39027,3882,4569,4419,96,3906,0,4564,4416,96,1092,0,278934,317068,133402,290906,6,5862
1,1,7142.52,11024.7,783.525,1117.73,307.178,990,215,10,28484,27613,2505,2428,98,165,158,0,131,0,165,158,0,32,0,278934,317068,133402,290906,6,5862
1,1,31181,21225.6,39153.9,3798.94,918.434,3283,580,7,48939,47427,67040,65647,6484,541,521,0,426,0,541,521,0,80,0,278934,317068,133402,290906,6,5862
1,1,13005.8,14617.8,4328.62,3967.29,1864.58,3512,1443,19,35137,34013,10240,9924,781,524,504,7,432,0,524,504,7,134,0,278934,317068,133402,290906,6,5862
1,1,24449.2,24496.8,15456.9,16383.4,4610.88,14370,3212,32,50265,48753,32174,31426,3139,2182,2104,65,1844,0,2182,2104,65,409,0,278934,317068,133402,290906,6,5862
1,1,13625.3,17199.4,2960.57,1119.07,512.345,989,394,6,41698,40403,7260,7073,542,166,156,0,135,0,166,156,0,54,0,278934,317068,133402,290906,6,5862
1,1,10683,7020.23,2309.51,2257.85,867.323,2004,659,10,17675,17096,5997,5803,352,329,315,0,259,0,329,315,0,85,0,278934,317068,133402,290906,6,5862
1,1,53405.6,33283.5,85598.8,69680.9,23521.7,60488,16199,46,76107,73978,133452,131088,13958,8800,8540,276,7560,0,8754,8495,272,1980,0,278934,317068,133402,290906,6,5862
1,1,42962.9,46139.9,42925.5,33307.9,9931.86,29146,6894,33,101721,98847,77173,75690,7933,4255,4102,119,3578,0,4255,4102,119,867,0,278934,317068,133402,290906,6,5862
1,1,45596.8,27271,62338.6,31308.7,9700.82,27111,6725,29,64768,62908,102719,100810,10454,3947,3833,71,3366,0,3947,3833,71,842,0,278934,317068,133402,290906,6,5862
1,1,3079.98,6311.53,128.387,256.866,45.43,225,27,6,17217,16604,392,380,1,43,43,0,27,0,43,43,0,3,0,278934,317068,133402,290906,6,5862
1,1,10204.2,8384.99,2065.57,1987.14,975.577,1785,795,16,23820,22982,5669,5480,326,271,253,3,220,0,271,253,3,84,0,278934,317068,133402,290906,6,5862
1,1,25413.2,16058,16201.6,13090.6,4282.18,11471,3127,16,40621,39419,32615,31859,3168,1695,1650,27,1448,0,1695,1650,27,382,0,278934,317068,133402,290906,6,5862
1,1,7011.08,4872.11,795.574,592.366,275.437,525,213,10,13908,13429,2326,2248,82,89,88,0,67,0,89,88,0,26,0,278934,317068,133402,290906,6,5862
1,1,18408.1,12833.4,7619.96,7017.79,2196.56,6206,1563,17,31574,30653,16658,16263,1350,946,914,20,783,0,944,912,18,180,0,278934,317068,133402,290906,6,5862
1,1,21308.3,18292.2,16265.1,11730.2,2681.3,10599,1936,15,41726,40471,31902,31147,2847,1111,1074,22,927,0,1111,1074,22,240,0,278934,317068,133402,290906,6,5862
1,1,47528.5,35041.3,67077.1,28774,8796.18,25190,6111,24,71893,69879,103595,101689,10370,3606,3504,54,3057,0,3606,3504,54,763,0,278934,317068,133402,290906,6,5862
1,1,38384.9,19748.5,23495.7,46304.3,15781.4,40678,11357,45,47815,46391,44222,43322,4566,5533,5340,231,4763,0,5533,5340,231,1269,0,278934,317068,133402,290906,6,5862
1,1,21731.1,5074.16,20513.6,10467.7,3715.95,9146,2704,12,13895,13431,33347,32562,2939,1386,1342,19,1163,0,1386,1342,19,347,0,278934,317068,133402,290906,6,5862
