K,order,dist,cost_polyanya,cost_ki,cost_hi,h_cost,vnum,gen_poly,push_poly,pop_poly,gen_ki,push_ki,pop_ki,prune_ki,suc_call_ki,gen_hi,push_hi,pop_hi,prune_hi,suc_call_hi,heuristic_call,reevaluate,pts,polys
9,9,63918.2,52543.9,500728,414430,338422,85,96443,93640,78191,404828,398273,383632,39604,2465747,53532,62985,54722,2154,189470,57455,10979,10,8100
9,9,107827,234441,672684,1.23006e+06,1.00908e+06,135,309786,302311,262549,535397,528230,517027,50043,3801227,138389,162801,146197,4940,622642,149504,27641,10,8100
9,9,92461.4,116446,469412,639055,518502,48,181235,176401,150887,375883,370421,353191,36342,2430519,74101,88658,78624,2723,324753,81650,16522,10,8100
9,9,84711.6,106394,369859,525351,434786,10,150891,146680,124439,350927,345633,329395,34256,2197599,56243,68137,59429,1835,212360,62434,13527,10,8100
9,9,60363,51832.5,594606,592169,488048,83,101057,98198,81935,432780,425674,410080,43259,2559609,63973,72840,62757,2265,218786,66007,10696,10,8100
9,9,104975,202480,730838,951660,771248,133,255233,248800,214565,530271,523073,511772,47631,3624944,100721,125631,113105,3612,450625,115743,27377,10,8100
9,9,85220.1,62850,542457,305795,251790,25,100083,97177,81581,428507,422033,406811,40874,2765048,35236,44834,38699,1042,122619,41083,10697,10,8100
9,9,87940.4,124655,650542,889329,722079,110,201833,196483,168608,487046,479908,469115,46011,3208844,93325,112710,100566,3529,391086,103268,21755,10,8100
9,9,72141,60791.2,659662,502976,416984,79,108910,105916,88591,465500,458265,445644,45030,2966716,57856,69956,61171,2257,209161,64109,13689,10,8100
9,9,89858.7,99376.3,695242,639493,514011,89,155054,150932,128569,505134,497828,484620,47744,3350851,79925,96052,84624,3036,316057,87935,18261,10,8100
9,9,65886.9,70360,408199,425690,350525,67,113765,110598,93107,335747,330245,315160,33227,2014074,50934,60293,52269,1919,183936,55025,10798,10,8100
9,9,63104.2,64042.8,428519,428242,353694,56,112226,109148,91937,342750,337056,321616,33529,2036266,51907,60616,52520,1951,184495,55218,10148,10,8100
9,9,80860.9,76697.5,664988,627238,506467,67,140016,136120,115523,478923,471629,459650,46164,3153415,77020,91513,80383,2654,298943,83446,16631,10,8100
9,9,75402.3,53616.5,523365,369719,296621,93,93727,91007,76032,432501,425801,411884,41723,2752280,53209,60540,52308,1956,194961,54975,8854,10,8100
9,9,70320.2,67900.2,617979,633123,507771,72,115698,112445,94323,462028,454723,443020,44608,2965293,75327,88009,76508,2638,275440,79996,14809,10,8100
9,9,75775.1,80325.1,588843,628784,523773,108,148446,144292,121982,461370,454286,442271,45440,2999147,78152,90216,78683,2791,300354,82188,14245,10,8100
9,9,96152.1,129644,614647,864277,722849,113,209713,204082,173894,502984,495873,484574,46397,3374437,91492,113299,100509,3127,376931,103919,24250,10,8100
9,9,86128.6,115198,557789,675976,551663,108,196028,190999,164031,463557,456771,441760,43696,2998346,89462,105303,92802,3434,359653,96205,18185,10,8100
9,9,90944.9,136667,578285,959722,790499,96,235901,229987,198638,488102,481068,467798,46062,3181340,102976,121537,108591,3580,441942,111264,21043,10,8100
9,9,88417.6,87552.8,418888,478874,392567,39,145459,141510,120722,373607,368059,351168,36316,2383997,60226,71871,62903,2056,243012,65915,13315,10,8100
9,9,63823.4,52674.1,434024,421807,353542,63,112605,109420,92023,369762,363679,347677,36292,2215195,54776,64791,56315,2193,194962,59188,11577,10,8100
9,9,81249.1,104488,550697,782402,650821,104,186806,181990,156018,475937,468778,457184,45820,3071102,88936,105642,94071,3375,368771,96543,18916,10,8100
9,9,98130,156455,673898,1.01026e+06,818888,125,251077,244871,211870,512985,505831,495080,48531,3567232,117745,136594,121753,4157,510879,125191,21684,10,8100
9,9,84429,56027.3,598211,345730,270028,105,92395,89779,75614,472827,465742,451916,44724,3081689,56608,62256,53511,2129,213946,56492,7243,10,8100
9,9,102985,170978,637119,1.01685e+06,836129,136,267762,260732,224594,516786,509640,498167,48021,3588619,111897,135326,120574,4090,466370,124390,26289,10,8100
9,9,91014.5,114600,654192,736700,602642,58,177834,173012,147441,497542,490291,477477,47179,3347943,88138,106080,93778,3065,352858,96980,20349,10,8100
9,9,73954.7,47855.3,560410,340073,280103,68,87620,85050,71251,448302,441281,428173,42373,2847215,46137,54071,47171,1522,163536,49374,9283,10,8100
9,9,98080.1,153398,610994,923515,771949,127,245694,239152,205767,498063,491063,476647,46648,3380969,97501,118224,104743,3669,395546,108241,23365,10,8100
9,9,89342.2,122822,605326,689683,567903,125,190499,185284,158183,487685,480574,469040,46560,3296967,82645,98922,87320,3111,334511,90559,18522,10,8100
9,9,92846.2,138531,551654,795217,648061,110,229852,224031,193829,475881,469144,453927,44245,3143386,102185,120622,107227,4069,421049,110305,21058,10,8100
9,9,78785.3,65063.2,474998,425854,362742,58,120873,117394,98805,426951,420392,405266,41180,2704211,46966,60063,52773,1883,180344,55304,14469,10,8100
9,9,66036.9,65736.5,499684,610730,514177,91,136309,132656,112146,438978,431923,418217,43660,2675801,72245,85087,74413,2627,270536,77550,14805,10,8100
9,9,79594.7,62624,437973,433333,371594,49,121523,118077,99453,405638,399468,384166,39129,2541868,45804,59715,52256,1468,164058,55072,15260,10,8100
9,9,64488.4,48717.6,429798,386847,321437,83,100071,97206,81568,390508,384149,369833,37912,2387005,54372,63137,54823,2093,194369,57591,10311,10,8100
9,9,88392.4,84755.6,594785,533479,445392,84,151978,147900,125880,497326,490053,476692,47007,3296619,64652,80984,71915,2322,251805,74529,18051,10,8100
